Project Name,Department,Annual Report Category,Project Description,IPA Delivery Confidence Assessment,SRO Delivery Confidence Assessment,Departmental Commentary on Delivery Confidence Assessment Rating,Start Date,End Date,Schedule Narrative,Financial Year Baseline (£m),Financial Year Forecast (£m),Financial Year Variance (%),In Year Variance Narrative,Whole Life Cost (£m),Costs Narrative,Benefits (£m),Benefits Narrative,Does the project have an evaluation plan? (self reported),Senior Responsible Owner (SRO) Name,GMPP ID
SOCIAL HOUSING DECARBONISATION FUND ,DESNZ,Infrastructure and Construction,"The SHDF capital programme (with new projects delivering as the Warm Homes: Social Housing Fund after April 2025) is designed to improve the energy performance of social housing through targeted investment and collaborative engagement with social housing landlords, funding the installation of energy efficiency measures and low-carbon technologies in social homes. SHDF began delivery in 2021 through the SHDF Demonstrator, and the latest project, Wave 3, will begin in Spring 2025.

SHDF is a key pillar of the Government's Clean Energy Mission, by reducing carbon emissions produced by social homes. SHDF has the following specific aims:
•	Improve Energy Efficiency: Upgrade social homes to at least the EPC C standard. 
•	Reduce Carbon Emissions: Contribute to the UK’s Net Zero targets by decarbonising housing
•	Tackle Fuel Poverty: Lower energy bills for tenants
•	Support Green Jobs: Stimulate employment in the retrofit and construction sectors.
•	Enhance Tenant Well-being: Improve comfort, health, and quality of life for residents.
•	Build Sector Capability: Develop skills, supply chains, and capacity for future retrofit projects",AMBER,,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
 
Good progress has continued across the SHDF programme with SHDF Wave 2 in delivery and WH:SHF Wave 3 funding allocations announced in March 2025 for delivery through to 2028. Delivery confidence remains amber due to the programme’s high complexity and its dependency on a number of external factors.
",09/09/2020,01/10/2028,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained at 31/03/2030. This is primarily due to the following factors‚

The last programme business case from 2022 assumed delivery through to 2030. Data in this return has been amended to include business case information only to the end of Wave 3 delivery in 2028, as funded from the first phase of the 2025 spending review in Autumn 2024. Delivery beyond 2028 is subject to further spending review decisions.
",515.96,472.4,8.44,"The budget variance exceeds 5%. This is primarily due to the following factors‚

The programme has demonstrated strong financial performance in 24/25, with over 90% of the allocated capital funding forecast to have been spent in 2024/25, representing an estimated £453m against an allocation of £495.5m. While there has been a slight variance in capital expenditure against the forecast, this reflects adjustments made during delivery, as some projects have amended project plans and altered their scope. In addition, SHDF is forecast to have spent 95% of its allocated RDEL budget. These numbers are provisional as at May 2025 and have been provided prior to final audit and review and may be subject to further revisions. ",2206,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) decreased from 4558 to 2226. This is primarily due to the following factors‚

The last programme business case from 2022 assumed delivery through to 2030. Data in this return has been amended to include business case information only to the end of Wave 3 delivery in 2028, as funded from the first phase of the 2025 spending review in Autumn 2024. Delivery beyond 2028 is subject to further spending review decisions.
",5737,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) decreased from 9619 to 5737. This is primarily due to the following factors‚

The Programme has recalibrated its benefit estimates in accordance with the latest approved project business case, which is for WH:SHF Wave 3, approved in Q4 of 24/25.  This supersedes previous programme business cases which provided an estimate extending beyond this time period. Benefits will be revised should further funding be confirmed in future fiscal events.
",Yes - Published on the Government Evaluation Registry,Selvin Brown,BEIS_0014_2021-Q4
BEPPS2,DESNZ,Infrastructure and Construction,"The Box Encapsulation Plant Product Store (BEPPS2) is a critical enabler for Sellafield Ltd to allow high hazard retrieval operations from Magnox Swarf Storage Silo (MSSS) and Pile Fuel Cladding Silo (PFCS). The BEPPS2 project will provide the capacity to store 7470 packages of legacy Intermediate Level Waste (ILW), safely and securely in a modern facility with a design life of 100 years.",,GREEN,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at GREEN. This is primarily due to the following factors‚
This is a nuclear project on an operational nuclear site. The Project is in the define stage.  The BEPPS2 project is being delivered by the Programme and Project Partnership (PPP). The SRO DCA is a RAG rating of GREEN representing delivery against the Outline Business Case (OBC) approved by HMG in September 2023. The project is showing no significant threat to the overall P80 schedule and continues to proactively manage opportunities whilst mitigating and balancing current and future threats, keeping the forecast completion of the BEPPS2 project within the strategic tolerances of the Programme.",01/11/2017,30/06/2035,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained at 30/06/2035. This is primarily due to the following factors‚
The Project remains on schedule and there is no change to the date of 30/06/2035.",38.71,35.74,7.67,"The budget variance exceeds 5%. This is primarily due to the following factors‚
The in year spend is less than the budget (baseline) for 2024/25 due primarily non utilisation of contingency.   ",747.34,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) increased from 727 to 747. This is primarily due to the following factors‚
Compared to 23/24-Q4, the BEPPS2 budgeted cost (baseline) has increased, this is due to escalation in line with the agreed indices.",0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
There are no monetised benefits within the BEPPS2 project however, it will contribute towards NDA’s strategic outcome 33: All Intermediate Level Waste in interim storage. The project does this by providing additional storage on the Sellafield site.",No,Kathryn McCloghrie,BEIS_0241_2324-Q1
East Coast Cluster Anchor (ECC),DESNZ,Infrastructure and Construction,"Overall, the CCUS programme will deliver a suite of business models and agreed revenue support ranges. These will underpin future private sector and Government investment in CCUS infrastructure (Power, Transport and Storage, Industry, and Hydrogen). This also includes the delivery of legal and regulatory frameworks to set risk/return profiles, rules, and guidance in relation to the use of Transport and Storage systems, industry and power capture, pBECCS and hydrogen.

The East Coast Cluster (ECC) Anchor Project comprises the initial CCUS Transport and Storage Company (Northern Endurance Partnership) and one emitter project (Net Zero Teeside) for one operational industrial CCUS cluster in the North East of England. 

It is planned that the anchor project will be followed by a series of Build Out projects. These will be crucial to the creation of a competitive CCUS market, supporting the UK's drive to legally binding Net Zero targets, and delivering economic benefits. ",Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Alex Milward,DESNZ_0458_2425-Q3
Home Upgrade Grant and Local Authority Delivery (HULA) schemes,DESNZ,Government Transformation and Service Delivery,"The HULA Programme comprises Local Authority Delivery and Home Upgrade Grant. The Local Authority Delivery Scheme (LAD) launched in August 2020 and was delivered over the course of three phases. The primary purpose of the funding was to support low-income households living in energy inefficient homes in England with energy efficiency and clean heating upgrades, whilst supporting economic resilience and a green recovery. Phase 1 allocated £200m in grants to over 136 Local Authorities with a managed closedown of projects from March 2022 to end of September 2022. Phase 2 allocated £300m to the five Local Net Zero Hubs, who worked with their regional Local Authorities to continue to deliver energy efficiency upgrades to homes until the end of September 2022. Together LAD phases 1 & 2 delivered upgrades to over 38,000 homes. Phase 3 made almost £287m of extra funding available to Local Authorities, under the Sustainable Warmth competition. Delivery commenced in early 2022 and ended in September 2023.   

The Home Upgrade Grant (HUG) provides energy efficiency upgrades and low-carbon heating measures to low-income households living in the in the worst-performing, off-gas-grid homes (those rated Energy Performance Certificate (EPC) Band D, E, F and G) in England to tackle fuel poverty and make progress towards net zero 2050. Unlike measure-focused government schemes such as the Great British Insulation Scheme or Boiler Upgrade Scheme, HUG provides whole house retrofit to ensure low-income, off-gas-grid homes receive tailored energy efficient upgrades, treating the entire property. Phase 1 of HUG was worth £218 million. Delivery commenced in early 2022 and ran until September 2023. Phase 2 of HUG was allocated up to £315m. It began delivery in April 2023 and concluded in March 2025, with a small number of households completed under ‘extenuating circumstances’ in May 2025. It is forecast that HUG2 will deliver 11,000 properties, spending £227m of its allocated budget (compared with its Mid-Point Review (MPR) forecast in April 2024 of £217m and 8,721 homes). ",AMBER,,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
HULA completed delivery of its LAD schemes in 2023. LAD Phases 1 & 2, which were schemes for retrofit delivery through Local Authorities, concluded with 38,646 homes treated out of an original business case target of 55,000 and received an IPA green rating at closure. LAD Phase 3 completed delivery in September 2023, spending £221m of the £286.8m allocated to Local Authorities (LA) between December 2021 and January 2022. Several factors, including the high degree of optimism bias within LA forecasts, challenges identifying a sufficient pipeline of eligible homes, drop-out rates, cost-cap limitations and short delivery windows led to under-delivery of the LAD scheme, which was also affected by issues relating to supply chain capacity and access to properties resulting from the Covid19 Pandemic. 

 

Delivery of HULA’s HUG schemes will cease in September 2025 with the closure of HUG2. HUG1 completed delivery in September 2023, spending £61m of the £218.6m allocated to Local Authorities between Jan-April 2022. Under-delivery of scheme was due to several factors identified through monitoring and evaluation,  including organisation level (expertise and capacity of each LA / consortium lead and their delivery partners), project level (ongoing optimism bias within LA forecasts, the time needed for LAs to procure and contract suppliers, the target measure mix’s alignment with local supply chains), and local external factors (customer appetite for measures offered, incidence of qualifying households, some off-gas grid housing stock being unsuitable for measures,  and increased difficulty in delivering installations in rural / lower density areas). LAD3 and HUG1 (packaged together as Sustainable Warmth) received an amber/ green rating from IPA at closure. 

 

HUG2 has completed 24 months of delivery, issuing £240m against a budget allocation of £315m (GMPP baseline) and a Mid-Point Review forecast of £218m. HUG2, which is delivered via a Delivery Agent and Partner, has faced delivery challenges including identifying properties compliant with restrictive policy criteria (which included limits on private rented sector landlords and a 60% rural ringfence). Performance improved significantly in 24/25 following implementation of a ‘Maximising Delivery Strategy’. Delivery of over 11,000 homes is forecast by scheme-end, against a GMPP baseline of 12,602 and an MPR forecast (April 2024) of 8,721. ",01/03/2020,01/09/2025,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 31/03/2025 to 01/09/2025. This is primarily due to the following factors:
Delivery ended on 30 March 2025. HUG2 project closure activity is underway with the final IPA review expected in September 2025. HULA will exit GMPP with HUG2 at this time and therefore the Q2 report (data date end September 2024 will be the last) ",163.35,168.04,2.87,The budget variance is less than or equal to 5%.,1307,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) remained at 1307. This is primarily due to the following factors‚
HULA has not re-baselined its Whole Life Cost since the last IPA Annual Report. ",5042.82,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) increased from 4782 to 5042. This is primarily due to the following factors‚
The update of the OBR inflation forecast in Q2 24/25, making baseline nominal benefits larger. ",Yes - Published on the Government Evaluation Registry,Selvin Brown,DESNZ_0295_2324-Q3
SELLAFIELD PRODUCT AND RESIDUE STORE RETREATMENT PLANT PROJECT,DESNZ,Infrastructure and Construction,"The Sellafield Product & Residue Store Retreatment Plant (SRP) project will provide key capabilities as a key part of the Sellafield Ltd 'Special Nuclear Materials (SNM) Future State Programme'. This is a complex project required to provide the capability to receive special nuclear material in existing packages, from existing stores on the Sellafield site, and process the material into a form and package suitable for safe and secure long-term interim storage.",,GREEN,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at GREEN. This is primarily due to the following factors‚
This is a complex nuclear project on an operational nuclear site. The Project is in the execution stage and continues with the final stages of bulk civil construction, is transitioning into mechanical and electrical fit out and is currently showing no significant threat to the overall P80 schedule.  The SRP project is being delivered by the Programme and Project Partnership (PPP). The IPA afforded this project a RAG rating of GREEN.",01/03/2012,01/04/2030,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 09/10/2029 to 01/04/2030. This is primarily due to the following factors‚
The project end date has moved as a result of baseline change for P80 drawdown due to delays incurred by the global shortage of microchips and semiconductors. This movement and the project end date remains within the overall P80 dates approved in the Full Business Case (FBC).",256.87,221.92,13.61,"The budget variance exceeds 5%. This is primarily due to the following factors‚
The in year spend is less than the budget (baseline) for 2024/25 primarily due to the agreed annual funding allocation and un-utilisation of the full contingency allocated to FY24/25.",1471.12,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) increased from 1433 to 1471. This is primarily due to the following factors‚
Compared to 23/24-Q4, the SRP budgeted cost (baseline) has increased by ~£38m, this is due to £21m of escalation in line with agreed indices, and £17m as a result of baseline change for P80 drawdown due to delays incurred by the global shortage of microchips and semiconductors.",0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
There are no monetised benefits defined within the Sellafield Product & Residue Store Retreatment Plant (SRP) FBC. SRP will provide key capabilities which will enable the delivery of benefits to the ‘Special Nuclear Materials (SNM) Future State Programme’ at Sellafield. The retreatment and repackaging capability provided will reduce the risk associated with current plutonium storage conditions at Sellafield. The UK has the largest inventory of separated civil plutonium in the world, most of which is stored at Sellafield, safe and secure management of this material is a priority.
 
SNM has identified three long term benefits that will be fully realised once all plutonium packages have been retreated or repackaged and consolidated within modern storage facilities. 
•	Enhanced nuclear Safety & Security.
•	Improved high security resilience and a reduction in the number of Category-1 facilities. 
•	Value for money by reducing the size of the delivery organisation required for managing future plutonium stocks.",Yes - Not published on the Government Evaluation Registry,Jeremy Hunt,BEIS_0008_2021-Q3
Spherical Tokamak for Energy Production,DESNZ,Infrastructure and Construction,"The first of its kind, STEP is the UK's major technology and infrastructure programme to build a prototype fusion powerplant and, through that, to build a new industrial sector in which the UK will play a leading global role as fusion energy becomes a commercial reality.  STEP is industrial strategy in action, generating short, medium, and longer-term economic growth and local social benefits in and around the site in north Nottinghamshire. The physical plant will demonstrate net energy, fuel self sufficiency and a viable route to plant maintenance. This will pave the way for the potential development of a fleet of future fusion powerplants around the world and the commercialisation of fusion energy, but the lasting legacy and the source of near-term value for the UK is stimulation of a supply chain that can support multiple fusion programmes worldwide as that industry grows, and that delivers additional benefit through spin-off technologies. ",AMBER,,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
The intrinsic challenges of developing novel technologies and building a new industrial sector create delivery risks that could impact timelines, cost, and stakeholder confidence.",16/07/2018,"Low: 01/04/2040, Mid: 01/04/2045, High: 01/04/2050","Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained at 01/04/2045. This is primarily due to the following factors‚
the intrinsic challenges of developing novel technologies and building a new industrial sector create delivery risks that could impact timelines.",67.4,67.23,0.25,"The budget variance is less than or equal to 5%.
",The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,Section 22 - Information intended for future publication,Section 22 - Information intended for future publication,Section 22 - Information intended for future publication,Paul Methven,BEIS_0153_2223-Q2
NEW NUCLEAR PROJECT (SIZEWELL C),DESNZ,Infrastructure and Construction,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Section 43 - Commercial interests,Caroline Botwood,BEIS_0019_2122-Q1
PUBLIC SECTOR DECARBONISATION SCHEME,DESNZ,Infrastructure and Construction,"The Public Sector Decarbonisation Scheme has been in operation since September 2020, providing capital funding to support heat decarbonisation and energy efficiency improvements in public sector buildings. Its core aim is to reduce direct carbon emissions from the public sector. These reductions will contribute to the UK’s Carbon Budgets 4, 5, and 6, playing a vital role in achieving the UKs Net Zero targets.  ",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors:
while overall delivery of live projects is progressing well, grant recipients continue to experience pressures from, for instance, higher-than-expected costs and longer than anticipated timelines for delivery implementation. As a result, the outcomes regarding technologies deployed remain uncertain. ",08/07/2020,31/03/2028,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 31/03/2025 to 31/03/2028. This is primarily due to the following factors:
the Phase 4 Full Business Case, covering delivery through to FY 2027/28, was approved and at Autumn Budget 2024 additional funding was secured for financial years 2025/26 to 2027/28. Phase 4 of the scheme was launched in Autumn 2024 with grant recipients able to commence grant spend from 1 April 2025. ",433.8,404.9,6.66,"The budget variance exceeds 5%. This is primarily due to the following factors:
higher-than-expected project delivery losses were experienced in financial year 2024/25, driven by an increase in project scope reductions and abandonments as a result of various delivery challenges. This resulted in an underspend that exceeded the amount by which we had overprogrammed, giving rise to unclaimed budget.",3836.29,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) increased from 2565 to 3836. This is primarily due to the following factors:
funding for the second year of Phase 3c, and Phase 4, of the Public Sector Decarbonisation Scheme was secured and included in the return. This funding will support delivery across financial years 2025/26 to 2027/28.",8040.01,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) increased from 5076 to 8040. This is primarily due to the following factors:
modelled baseline benefits were revised to account for inclusion of funding for the second year of Phase 3c, and Phase 4, in the return. ",Yes - Published on the Government Evaluation Registry,Paul Chambers,BEIS_0013_2021-Q4
GREEN HEAT NETWORK FUND,DESNZ,Infrastructure and Construction,"The vision for the GHNF scheme is to incentivise the transition to low-carbon heat networks via targeted financial support, which will stimulate the increased deployment of low-carbon technologies at scale to help deliver Net Zero. The GHNF objectives are as follows: (i) Achieve carbon savings and decreases in carbon intensity of heat supplied. (ii) Increase the total amount of low-carbon heat utilisation in heat networks (both retrofitted and new heat networks). (iii) Contribute towards market transformations across the investment landscape and supply chain that will better prepare the heat network sector for further decarbonisation. ",,GREEN,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at GREEN. This is primarily due to the following factors:
(i) GHNF has now allocated funding to 63 projects in 54 towns and cities, and the scheme is on track to fully deploy its CDEL budget. (ii) Forecast data shows GHNF is on track to meet or exceed its benefit targets. (iii) The GHNF Supplementary Contract is in place in the event that additional CDEL budget is allocated to GHNF. ",07/03/2022,"Low: 30/06/2028, Mid: 31/03/2030, High: 31/03/2032","Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 30/06/2028 to 31/03/2030. This is primarily due to the following factors:
The revised project end-date reflects the end-date of the recently procured Supplementary GHNF Delivery Partner Contract, which is now in place. The previous end-date reflected the existing GHNF Delivery Partner contract.  ",103.6,127.22,22.8,"The budget variance exceeds 5%. This is primarily due to the following factors:
GHNF’s 2024/25 capital spend was approximately 122% of its Year 3 budget. The additional 22% was from underspend elsewhere in the Department. ",701.63,"The project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) is 701. This is primarily due to the following factors:
The GHNF WLC comprises of (i) GHNF CDEL grant budget and (ii) internal/other costs associated with administering and evaluating the GHNF.",3344.41,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 3344. This is primarily due to the following factors:
Forecast data shows GHNF is on track to meet or exceed its benefit targets. ",Yes - Published on the Government Evaluation Registry,David Capper,BEIS_0115_2223-Q1
FEDERATED DATA PLATFORM,DHSC,Government Transformation and Service Delivery,"The NHS Federated Data Platform (FDP) is a national programme designed to improve how the NHS uses data to deliver better, safer, and more efficient care. Currently, NHS data is stored in many different systems that don’t easily connect, which can lead to delays, duplication, and extra work for staff. The FDP is a secure digital platform that links these systems together, allowing data to be accessed and used more effectively. 
",,GREEN,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 increased from AMBER to GREEN. This is primarily due to the following factors‚
 Strengthened Programme Governance: Clearer roles, responsibilities, and decision-making structures have been established, improving oversight and accountability across delivery partners; 
- Matured Delivery Planning: The programme now has a well-defined roadmap with realistic timelines, phased implementation, and prioritised use cases aligned to NHS strategic goals; 
- Achievement of Programme Delivery targets: As of 31 March 2025, the programme had 72 acute trusts live with at least one product delivering benefits platform, comfortably meeting the year end target. The programme continues to generate demand and is above target for 2025/26 demand; and
- Alignment with National Priorities: the programme is closely aligned with key NHS and government strategies, which has helped secure continued support and investment.",01/04/2022,31/03/2032,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained at 31/03/2032. This is primarily due to the following factors‚
The programme remains on track to deliver to the timeframes set out in it’s business case.",122,101,17.21,"The budget variance exceeds 5%. This is primarily due to the following factors‚
There has been an in-year variance of in excess of 5% due to a lower number of products being taken by Trusts, than was planned in the budget, A range of operational and contextual factors contributed to this outcome. Work is ongoing to review engagement approaches and identify opportunities to support improved uptake and delivery in future periods. 

 ",1042,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) remained at 1042. This is primarily due to the following factors‚
The underspend in 2024/25 does not require a change in the project’s agreed Whole Life Cost of £1042m. This position reflects the expectation that current variances are timing-related rather than indicative of a fundamental shift in overall cost requirements. The project remains on track to deliver its intended outcomes within the approved financial envelope, and ongoing monitoring will ensure that any future adjustments are identified and managed appropriately. 

 ",777,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 777. This is primarily due to the following factors‚
The FDP is driving an innovating, benefits led approach to delivery. Benefits are reported regularly and transparently – being published on the NHS website on a dedicated Uptake and Benefits page. The FDP is delivering significant, measurable benefits, with rapid uptake. The outcomes align strongly with the business case and forecast lifetime benefits exceed the departmental baseline.

",Yes - Not published on the Government Evaluation Registry,Ming Tang,DHSC_0252_2324-Q1
DATA FOR RESEARCH AND DEVELOPMENT (R&D),DHSC,Government Transformation and Service Delivery,"The Programme's vision is to by 2025, have a world leading NHS-wide health data research infrastructure that enhances patient care, sustains the NHS and supports innovation, while benefiting the economy through attracting life sciences to work in the UK",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
An action plan was put in place to address recommendations from the last IPA review, the Programme continues to progress against its key high-level activities, drawn from the Gateway review recommendations, Delivery activity for this phase of the Programme is drawing to a close, with focus now  looking ahead to 25/26 and transitioning towards a Central Management Entity.",01/01/2022,31/03/2025,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained at 31/03/2025. This is primarily due to the following factors‚
‚ the programme has delivered in line with the timescales in the business case and is due to close before the start of the current GMPP reporting cycle.",82.91,75.85,8.52,"The budget variance exceeds 5%. This is primarily due to the following factors‚
 underspend from NHSE SDE and NHS Digitrials that flowed back to our budget late in the financial year and wider portfolio reprioritisation, which meant some planned expenses did not materialise.",206.34,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) increased from 191 to 206. This is primarily due to the following factors‚
 an increase in pass-through funding from additional funders to providers that was facilitated by the Data for R&D Programme. This increase in baseline was covered by the Programme Business Case Contingency and Optimism Bias.",1484.98,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) decreased from 1485 to 1484. This is primarily due to the following factors‚
 Benefit reprofiling based on changes in spending and the funding changes for FY 24/25.",Yes - Not published on the Government Evaluation Registry,Hilary Fanning,DHSC_0253_2324-Q1
NHS Digital Transformation of Screening,DHSC,Government Transformation and Service Delivery,"The NHS Digital Transformation of Screening Programme (DToS), covers work required to design, develop and deliver new shared screening services and supporting digital products and assisted digital support, and the associated change delivery. Our vision aims to implement key recommendations in Professor Sir Mike Richards review which set out the need to improve IT systems to support the safe and effective delivery of screening services.",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 increased from RED to AMBER. This is primarily due to the following factors‚
the programme having now commenced delivery with new digital products being developed, tested and scaled. There is work in progress to secure future funding beyond 2025/6 and agree a commercial approach for technology and other partners beyond 25/26.",01/04/2022,31/03/2033,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 30/03/2033 to 31/03/2033. This is primarily due to the following factors‚
This a 10 year change programme to deliver digital transformation of all the national screening programmes. Following the Programme Business Case (PBC) approval in July 2023, lengthy commercial approval processes meant the mobilisation of the strategic delivery partner/supplier did not start until early 2024 and was only fully mobilised in June 2024. ",25,24.8,0.8,"The budget variance is less than or equal to 5%.
The budget variance was 0.8% within the 5% variance. The budget was reduced mid-year to £19m, then there was a late allocation of additional capital. Despite this the budget variance at the end of the financial year was less than 1%. ",106.69,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) decreased from 113 to 106. This is primarily due to the following factors‚
The programme Baseline Whole Life Cost is currently 108.69 (£m). The forecast cost is £250.69.The forecast expenditure is aligned with the spending review, February 2025, to include costs up until 2028/29. This a bid only, however this won't be known until the funding allocation for the next spending review period is confirmed. The funding up until 25/26 is confirmed.",15808.5,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) increased from 610 to 15808. This is primarily due to the following factors‚
Benefits have been aligned to spending review submission, February 2025, which includes additional scope beyond the currently approved business case, which run to March 2026. Benefits include the full societal benefits of early treatment of additional cancers to be detected and productivity savings from moving to digital communications and other tools. Confidence adjustments applied to all benefits following NHSE Transformation Portfolio Office assurance of the Business Case Addendum December 2024.",Yes - Not published on the Government Evaluation Registry,Steve Russell,DHSC_0069_2021-Q4
PHE SCIENCE HUB,DHSC,Infrastructure and Construction,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,Section 35 - Formulation of government policy,DOH_0017_1112-Q1
