GMPP ID Number,Project Name,Department,Annual Report Category,Description / Aims,"IPA Delivery Confidence Assessment 
(A Delivery Confidence Assessment of the project at a fixed point in time, using a three-point scale, Red – Amber – Green; definitions in the IPA Annual Report on Major Projects)","SRO Delivery Confidence Assessment 
(A Delivery Confidence Assessment of the project at a fixed point in time, using a three-point scale, Red – Amber – Green; definitions in the IPA Annual Report on Major Projects)",Departmental commentary on actions planned or taken on the IPA RAG rating.,"Project - Start Date 
(Latest Approved Start Date)","Project - End Date 
(Latest Approved End Date)","Departmental narrative on schedule, including any deviation from planned schedule (if necessary)",Financial Year Baseline (£m) (including Non-Government Costs),Financial Year Forecast (£m) (including Non-Government Costs),Financial Year Variance (%),"Departmental narrative on budget/forecast variance for 2023/24 
(if variance is more than 5%)",TOTAL Baseline Whole Life Costs (£m) (including Non-Government Costs),Departmental Narrative on Budgeted Whole Life Costs,TOTAL Baseline Benefits (£m),Departmental Narrative on Budgeted Benefits
MOJ_0061_2122-Q3,Decommission and Legacy Risk Mitigation (DLRM),MOJ,ICT,The Decommission and Legacy Risk Mitigation (DLRM) Programme has been established to mitigate the risks presented by HMCTS legacy technology. The DLRM Programme will retire aged and unused applications where possible and for those applications still required it will update the application and migrate it to supported hosting environments.,,Amber,"Compared to financial year 22/23-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

Data migration issues impacting timelines.",2021-07-01,2028-03-31,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2028-03-31. This is primarily due to the following factors. 

 The project is on track to deliver against the baseline schedule.",55.39,48.63,-12,The budget variance exceeds 5%. This is primarily due to the following factors. The underspend is due to the project not needing to call on cost contingency included in the baseline budgets.,199,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 increased from 198m. to 199m. This is primarily due to the following factors. 

 The Whole Life Cost has remained largely static, and the budget remains aligned to the current baseline business case.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

This project currently reports no monetised benefits. The project's benefits focus on reducing the risk of legacy technology through decommission, transition and replacement."
MOJ_0073_2122-Q4,Drug Testing Services,MOJ,Government Transformation and Service Delivery,"The project objective is to successfully procure and implement a service for the drug testing of offenders in prisons and under supervision in the community. It aims to procure services that are future-proof and support delivery of the drug testing strategy. Two contracts are to be procured 1) urine and oral fluid based laboratory analysis services, and (2) oral fluid point of care drug testing kits.",,Amber,"Compared to financial year 22/23-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

Whilst the Invitation to Tender (ITT) has been published, timetable risks remain.",2021-04-01,2025-10-08,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 increased from 2024-07-12 to 2025-10-08. This is primarily due to the following factors. 

 The project has been rebaselined and the Invitation to Tender (ITT) published.",1.1,1.1,0,The budget variance is inferior or equal to 5%.,184,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 remained at 184m. This is primarily due to the following factors. 

 The Whole Life Cost has remained static, and the budget remains aligned to the current baseline business case.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

This project currently reports no monetised benefits. The project's benefits are related to the successful onward operation of the Drug Testing service."
MOJ_0058_2122-Q1,Electronic Monitoring Expansion,MOJ,Government Transformation and Service Delivery,"The Electronic Monitoring Expansion Programme seeks to expand the impact, use and efficiency of electronic monitoring as a tool for the management of offenders in the community, helping reduce re-offending and protecting the public. The programme's aims include - effectively retendering the current service, increasing the scope and reach of electronic monitoring, building a more comprehensive evidence base, and more closely embedding the electronic monitoring service within the Probation Service.",Amber,,"Compared to financial year 22/23-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

New contracts have been awarded, however there is limited mobilisation schedule contingency.",2021-01-01,2024-12-31,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2024-12-31. This is primarily due to the following factors. 

 The project remains on track for completion in line with the current baseline schedule.",117.67,108.36,-8,The budget variance exceeds 5%. This is primarily due to the following factors. The underspend is due to unspent Optimism Bias and reduced in-year activities requiring costs to be re-profiled into future years.,858,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 decreased from 1214m. to 858m. This is primarily due to the following factors. 

 The decrease is due to contract savings.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

This project currently reports no monetised benefits. The project's benefits are related to the successful operation of Electronic Monitoring."
MOJ_0062_2122-Q3,Evolve: End User Computer Service,MOJ,ICT,"Ensure the continuation of critical End User Compute Services (EUCS) used by MoJ staff every day, and Implement an EUCS Future State model, which is crucial to achieving the strategic objective of a single technology ecosystem to all 110k MoJ users. 
In order to achieve the future state, there are 3 EUCS streams
1) The management of 3 re-procurements of EUCS suitable for the current and future needs of the Authority covering EUCS  Platform & Legacy services, Hardware Sourcing and Hardware Support Services,
2) EUCS Insourcing to bring certain capabilities in-house,
3) Converge & Accelerate focuses on the migrating users on the legacy Future IT Services to the organisations service MoJ Official.",,Amber,"Compared to financial year 22/23-Q4, Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 increased from Green to Amber. This is primarily due to the following factors. 

Timetable risks due to the complexity of multiple procurements.",2021-09-27,2025-11-30,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 increased from 2025-04-30 to 2025-11-30. This is primarily due to the following factors. 

 The programme has rebaselined its schedule following realignment of the delivery.",56.58,29.49,-48,The budget variance exceeds 5%. This is primarily due to the following factors. The underspend is due to reduced in-year activities requiring costs to be re-profiled into future years.,340,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 remained at 340m. This is primarily due to the following factors. 

 The Whole Life Cost has remained static, and the budget remains aligned to the current baseline business case.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

This project currently reports no monetised benefits.  The project's benefits focus on the continued quality of operation of End User Compute Services Contracts."
MOJ_0049_2122-Q3,Evolve: Voice & Video,MOJ,ICT,"Re-procurement of Voice and Video Services suitable for the current and future needs of the Authority, to replace the existing Future IT Services Voice and Video contracts. The project includes requirements gathering, Procurement preparation, competitive procurement and an increase in internal capability followed by the transition of services and exit of the existing contracts.",,Green,"Compared to financial year 22/23-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Green. This is primarily due to the following factors. 

The programme remains on track to deliver.",2021-09-27,2027-10-29,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 increased from 2027-04-30 to 2027-10-29. This is primarily due to the following factors. 

 The programme has rebaselined its schedule to allow for effective exit and decommissioning activities during project closure.",15.1,9.5,-37,The budget variance exceeds 5%. This is primarily due to the following factors. The underspend is due to reduced in-year activities requiring costs to be re-profiled into future years.,206,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 remained at 206m. This is primarily due to the following factors. 

 The Whole Life Cost has remained static, and the budget remains aligned to the current baseline business cases.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

This project currently reports no monetised benefits.  The project's benefits focus on the continued quality of operation of Voice and Video Services Contracts"
MOJ_0050_2122-Q3,Evolve: WAN/LAN (Networks),MOJ,ICT,"Re-procurement of WAN and LAN Services suitable for the current and future needs of the Authority, to replace the existing Future IT Services WAN/ LAN. The project includes requirements gathering, Procurement preparation and competitive procurement followed by the transition of services and exit of the existing contracts.",,Amber,"Compared to financial year 22/23-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

Timetable risks due to the complexity of multiple procurements.",2021-09-27,2028-02-24,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 increased from 2026-08-30 to 2028-02-24. This is primarily due to the following factors. 

 The programme has rebaselined its schedule following a change of procurement approach.",43.5,13.09,-70,"The budget variance exceeds 5%. This is primarily due to the following factors. The underspend is due to the delay in procurement timelines, which has required costs to be re-profiled to future years",253,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 remained at 253m. This is primarily due to the following factors. 

 The Whole Life Cost has remained static, and the budget remains aligned to the current baseline business case.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

This project currently reports no monetised benefits.  The project's benefits focus on the continued quality of operation of Network Services Contracts"
MOJ_0028_1314-Q2,HMCTS Reform,MOJ,Government Transformation and Service Delivery,"The HMCTS Reform Programme aims to improve the accessibility and efficiency of the justice system. The programme is centred on the principle that the system should be designed around its users, the programme will make our courts much better to use, easier to run, and cheaper to operate.",Amber,,"Compared to financial year 22/23-Q4, the Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber(IPA rating). This is primarily due to the following factors. 

Inherent risk in the project's timelines.",2016-12-01,2025-03-31,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 increased from 2024-03-31 to 2025-03-31. This is primarily due to the following factors. 

 The programme has rebaselined its schedule, the programme was extended to March 2025 to ease pressure on the business and focus on a deliverable and affordable plan for the remainder of the programme.",208.41,217.84,5,The budget variance is inferior or equal to 5%.,2789,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 remained at 2789m. This is primarily due to the following factors. 

 The Whole Life Cost has remained static, and the budget remains aligned to the current baseline business case. This figure includes the total recurring costs of HMCTS's reformed operating model (baseline value 1,498m). These costs are also separately counted as a disbenefit in the valuation of net monetised programme benefits.",2899,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 2899m. 

Monetised benefits have remained static, and the forecasts remains aligned to the current baseline business case. The benefits are focussed on ensuring the right outcomes and impacts for end-users, in terms of the ease of access and quality of services and reduced steady-state running costs. This is a net monetised benefit figure includes the total recurring costs of HMCTS's reformed operating model (baseline value 1,498m). These costs are also separately counted within the Whole Life Costs of the programme."
MOJ_0060_2122-Q3,PFI Prison Expiry and Transfer Tranche 2,MOJ,Government Transformation and Service Delivery,"The aim of this project is to carry out the exit and transfer of services at HMP Ashfield, Forest Bank and Rye Hill in a safe, effective and efficient manner following the expiry of their PFI contracts. HMPPS needs to undertake essential work to ensure it is able to manage the expiry of the Project Agreements and transfer the service, while maintaining continuity so there is no disruption to the regime or capacity at the prisons and also ensure opportunities to modernise the sites and align service provision to future need is fully considered. Following a change in 23/24-Q4 the project scope also includes the expansion of HMP Rye Hill through the construction of an additional houseblock at the prison.",,Amber,"Compared to financial year 22/23-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

The limited contingency and complexity of the expiry and transfer activities still to be delivered.",2022-01-22,2026-07-31,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2026-07-31. This is primarily due to the following factors. 

 The project is on track to deliver against the baseline schedule.",16.46,48.66,196,"The budget variance exceeds 5%. This is primarily due to the following factors. The overspend is due to previous changes in the delivery plan, requiring some costs to be re-profiled into this financial year.",4347,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 increased from 1544m. to 4347m. This is primarily due to the following factors. 

 The expansion of the project scope  following the addition of the Rye Hill Houseblock Expansion from the Houseblocks and Refurbishments Programme.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

This project currently reports no monetised benefits. The project seeks to realise efficiencies in future operating costs following the transfer of service to new operator contracts when compared to the PFI contracts. The project benefits also include the focus on the continued quality of service across the PFI contracts until expiry, and following the transfer of service, improvements in service quality in the new contract in line with the key priorities set out in the Prison Strategy White Paper and MoJ Outcome Delivery Plan."
MOJ_0054_2021-Q4,Print Recompete,MOJ,ICT,This project is renewing the departments print contract establishing an open framework competition to ensure value for money and the delivery of a high-quality service.  The new print contract will deliver an improved contract and the new devices  across MOJ estate.,,Amber,"Compared to financial year 22/23-Q4, Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 decreased from Red to Amber. This is primarily due to the following factors. 

An extension to the project end date and delivery challenges during roll-out.",2019-02-01,2024-11-30,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 increased from 2023-12-30 to 2024-11-30. This is primarily due to the following factors. 

 The project has rebaselined its schedule following delays to device deployment.",12.01,11.47,-4,The budget variance is inferior or equal to 5%.,80,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 remained at 80m. This is primarily due to the following factors. 

 The Whole Life Cost has remained static, and the budget remains aligned to the current baseline business case.",0,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 2324-Q4 decreased from 7m. to 0m. 

Monetised benefits have reduced following an uplift in contract costs to ensure continued availability of the managed print service. The project's other benefits reflect a rationalised print fleet and new print and scan services that will reduce manual printing and handling across some MoJ business areas."
MOJ_0055_2021-Q4,Prison Retail,MOJ,Government Transformation and Service Delivery,"Re-competition of the Prison Retail contract, which delivers a service to all public sector prisons and 4 private prisons in England and Wales. This service is a critical operational function within the prison estate, providing prisoners with the opportunity for choice and contributes to a more safe, decent, and secure environment within prisons. The service also supports rehabilitation by providing prisoner employment positions; prisoners have an opportunity to learn vocational skills and gain real-world experience and prepare and secure employment on release.",,Green,"The Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 is Green. This is primarily due to the following factors. 

The project is approaching the end of digital delivery. The project remains within budget and is achieving all project milestones and will close on time.",2017-04-03,2024-06-30,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 increased from 2023-06-30 to 2024-06-30. This is primarily due to the following factors. 

 The project has rebaselined its schedule mainly due to delays in supplier delivery.",72.43,72.43,0,The budget variance is inferior or equal to 5%.,656,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 decreased from 660m. to 656m. This is primarily due to the following factors. 

 The decrease is due to a reduction in project scope. The retail contract is a self-financing service contract, where the income generated from sales of goods/items to prisoners is used to cover the cost of operating the service and costs of goods purchased.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

This project currently reports no monetised benefits. The project's benefits are related to the successful operation of the Prison Retail Service."
MOJ_0064_2122-Q3,Prisoner Education Services,MOJ,Government Transformation and Service Delivery,"The Prisoner Education Service is part of the Rehabilitation Directorate within His Majesty's Prison and Probation Service. The programme has three main objectives: 1. Improve the numeracy and literacy of all prisoners who need it 2. Incentivise prisoners to improve their qualifications and skills to increase prospects of finding work/integrating back into society 3. Ensure Governors and their teams have the knowledge, tools and support they need to lead this work.",,Amber,"Compared to financial year 22/23-Q4, the Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber(SRO rating). This is primarily due to the following factors. 

Inflation risks contributing to increasing estimated cost of delivery, offset by a reduction in delivery.",2021-04-01,2025-06-30,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2025-06-30. This is primarily due to the following factors. 

 The project is on track to deliver against the baseline schedule.",190.6,190.6,0,The budget variance is inferior or equal to 5%.,1581,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 decreased from 1884m. to 1581m. This is primarily due to the following factors. 

 The decrease reflects the updated Outline Business Case costs.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

This project currently reports no monetised benefits. The project's benefits are related to the successful onward operation of the Prisoner Education Service."
MOJ_0060_2122-Q1,Probation Workforce Reform,MOJ,Government Transformation and Service Delivery,"The aim is to build a strengthened, innovative and professional Probation workforce which leads the criminal justice system, protects the public and reduces re-offending now and in the future. The Programme aims to create a modernised, diverse and open workforce culture that enables our people to be their best. This will ultimately reduce re-offending, protect the public and deliver change in a way which achieves value for money.",,Green,"Compared to financial year 22/23-Q4, Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 decreased from Amber to Green. This is primarily due to the following factors. 

Reduction in risk associated with recruitment and training of operational resources. The programme is progressing in its transition to business as usual and preparation for closure.",2020-04-01,2025-03-31,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 increased from 2025-03-25 to 2025-03-31. This is primarily due to the following factors. 

 The project is on track to deliver against the baseline schedule.",33.16,16.69,-50,"The budget variance exceeds 5%. This is primarily due to the following factors. The underspend is due to the reallocation of budgets to business as usual, in addition to scope/delivery changes and resource recruitment and retention challenges.",200,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 decreased from 241m. to 200m. This is primarily due to the following factors. 

 The decrease is due to the use of existing systems to deliver the Professional Register, and the Learning and Development model delivering core training products internally rather than via outsourcing.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

This project currently reports no monetised benefits. The project's benefits are focussed on the improvement of the Probation Workforce and associated services."
MOJ_0220_2223-Q4,Property Transformation Programme,MOJ,Government Transformation and Service Delivery,"The programme aims to transform property services through the procurement of new contracts that align to Government Facilities Management (FM) Strategy, meet statutory minimum and operational requirements and lay the foundation for wider transformation.",Amber,,"The Infrastructure Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 is Amber. This is primarily due to the following factors. 

This is the first time data has been published for this programme, which has been added to GMPP over the last year. The Amber Delivery Confidence Assessment is driven by inherent risk in the project's procurement timelines.",2022-10-03,2026-03-31,"The project's end-date at 23/24-Q4 is 2026-03-31. This is primarily due to the following factors. 

 The programme is on track to deliver against the baseline schedule.",10.4,10.4,0,The budget variance is inferior or equal to 5%.,7358,"The project's departmental-agree Whole Life Cost at 23/24-Q4 is 7358m. This is primarily due to the following factors. 

 The Whole Life Cost has been calculated to include the option for four Service Level Options for future contracts and is subject to future decisions on scope which will have a material impact on cost.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

This programme currently reports no monetised benefits. The programme's benefits are related to the safe maintenance and operation of the relevant parts of the MoJ Estate."
MOJ_0057_2122-Q1,Rapid Deployment Cells Project,MOJ,Infrastructure and Construction,"The Rapid Deployment Cells Programme supports our 20,000 additional prison places commitment; its scope is to offer a flexible capacity solution across the prison estate.",Amber,,"Compared to financial year 22/23-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

Delays to the delivery of Tranche 2 sites mainly driven by planning permission delays and challenging site conditions. Twelve sites have been fully delivered.",2020-08-17,Exempt under Section 22 of the Freedom of Information Act 2000 (Information intended for future publication),Exempt under Section 22 of the Freedom of Information Act 2000 (Information intended for future publication),129.59,147.45,14,The budget variance exceeds 5%. This is primarily due to the following factors. The overspend is due to increased construction costs due to inflation following planning permission delays and challenging site conditions.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

This project currently reports no monetised benefits. Due to the projected increasing prisons population, this project focusses on increasing capacity and there are no monetised benefits to be claimed."
MOJ_0259_2324-Q1,Secure Children's Homes Commissioning,MOJ,Government Transformation and Service Delivery,The project aims to improve children's experiences in custody and their life outcomes by ensuring that there is an aligned cross government approach to Secure Children's Homes and that justice provision is commissioned to deliver consistently optimal care.,,Amber,"The Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 is Amber. This is primarily due to the following factors. 

This is the first time data has been published for this project, which has been added to GMPP over the last year. The Amber Delivery Confidence Assessment is driven by inflation risks contributing to the increasing cost estimate, which is greater than that estimated previously.",2022-07-28,2026-04-01,"The project's end-date at 23/24-Q4 is 2026-04-01. This is primarily due to the following factors. 

 The project is on track to deliver against the baselined schedule.",31.4,30.8,-2,The budget variance is inferior or equal to 5%.,390,"The project's departmental-agree Whole Life Cost at 23/24-Q4 is 390m. This is primarily due to the following factors. 

 The Whole Life Costs are based on the most recent business case and include optimism bias.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

This project currently reports no monetised benefits. The project benefits focus on the quality of services contracts."
MOJ_0313_2324-Q3,Secure School,MOJ,Government Transformation and Service Delivery,"The secure school will be a 'school with security' rather than a 'prison with education'. Secure schools will be run by child-focused operators, with strong leaders who will have freedom and autonomy, and a specialised workforce; putting education, healthcare and purposeful activity at the heart of youth custody. To achieve this innovative approach, secure schools will be dual registered as Secure Children's Homes and 16-19 academies, combining the best ethos and practice from both sectors and the site at Medway transformed to meet children's homes standards.",Amber,,"The Infrastructure Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 is Amber. This is primarily due to the following factors. 

This is the first time data has been published for this project, which has been added to GMPP over the last year. The Amber Delivery Confidence Assessment is driven by risks, due to the innovative nature of the secure school, and site challenges.",2016-12-12,2024-10-01,"The project's end-date at 23/24-Q4 is 2024-10-01. This is primarily due to the following factors. 

 The project is on track to deliver against the baseline schedule.",24.07,23.46,-3,The budget variance is inferior or equal to 5%.,746,"The project's departmental-agree Whole Life Cost at 23/24-Q4 is 746m. This is primarily due to the following factors. 

 The Whole Life Costs are based on the most recent business case and include optimism bias.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

The project currently reports no monetised benefits. The project's benefits are related to the successful operation of the Secure School."
MOJ_0144_2223-Q2,Small Secure Houseblocks,MOJ,Infrastructure and Construction,"The Small Secure Houseblock project supports our 20,000 additional prison places commitment; its scope is to create units that will provide secure, permanent accommodation within the closed estate. The project provides a new style of accommodation for deployment in existing prison sites. Small Secure Houseblock units meet the technical needs and security standards required for Category C prisons.",Amber,,"Compared to financial year 22/23-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

Challenging site conditions.",2021-11-15,Exempt under Section 22 of the Freedom of Information Act 2000 (Information intended for future publication),Exempt under Section 22 of the Freedom of Information Act 2000 (Information intended for future publication),125.4,22.08,-82,The budget variance exceeds 5%. This is primarily due to the following factors. The underspend is due to schedule delays following complexities with delivering a first-generation design and challenging site conditions.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

This project currently reports no monetised benefits. Due to the projected increasing prisons population, this project focusses on increasing capacity and there are no monetised benefits to be claimed. The programme's other benefits are defined in the current baseline as: construction benefits and outcomes (capacity, modern methods of construction and sustainability); to enable an improvement in prisoner rehabilitation outcomes; and, during its construction, deliver local community benefits."
HMRC_0291_2324-Q3,VOA Business Systems Transformation,VOA,Government Transformation and Service Delivery,"VOA Business Systems Transformation Programme is the VOA's pivotal digital transformation programme, which aims to re-design the VOA's core business processes and replace its outdated and end-of-life core valuation and data IT platforms. It will transform the VOA into a more flexible, efficient, and agile organisation able to respond to policy initiatives and deliver sustainable 3 yearly non-domestic rating revaluations.",Red,,"The Infrastructure Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 is Red. This is primarily due to the following factors. 

The overall SRO Delivery Confidence Assessment for the BST Programme is Red.
The IPA assessed the Programme as Red in the most recent IPA Gate Review. 
At the time of the IPA assessment, BST Council Tax delivery was deemed viable, but BST Non-Domestic Rating (NDR) was undergoing a substantial reset. Completion of NDR reset will provide greater confidence around longer term delivery. Significant progress has been made in addressing all of the findings identified.",2019-11-11,2026-03-31,"The project's end-date at 23/24-Q4 is 2026-03-31. This is primarily due to the following factors. 

 The Programme's release of the Geospatial platform in 2023 is due to be followed by the delivery of the Council Tax value stream in 2024, which remains on track.
Council Tax covers a taxbase of 26.5 million properties equating to 95% of properties and data. Delivery of Council Tax into the business is Q3 FY24-25 including the migration of all relevant business data and integrated technology.  
The delivery of the Non-Domestic Rating value stream is currently expected to be delivered and rolled out by the end of FY25-26. The detailed delivery schedule will be confirmed in due course.",41.56,41.56,0,The budget variance is inferior or equal to 5%. ,236,"The project's departmental-agree Whole Life Cost at 23/24-Q4 is 236m. This is primarily due to the following factors. 

 Whole life costs have been reviewed and revised at Full Business Case (FBC) stage.",274,"The project's departmental-agree monetised benefits at 23/24-Q4 is 274m. 

"
HMRC_0143_2223-Q2,VOA Non - Domestic Rating Reforms Programme,VOA,Government Transformation and Service Delivery,"The Non-Domestic Rating Reforms Programme (NDRR) continues to make good progress.  It concluded its Alpha phase in April 2024 with a successful GDS assessment and has now moved into Beta.  Improvement Relief, a headline measure from the Government's Business Rates Review and the Non-Domestic Rating Act (NDR) 2023, was delivered on 1 April 2024.  The NDR Act has successfully completed its Parliamentary passage, gaining Royal Assent in autumn 2023.
The Programme's Outline Business Case (OBC) has received internal approvals and is undergoing Treasury approval.  An AO assessment has been completed, confirming that the programme meets the requirements of Managing Public Money.  A summary will be published by the end of April.",Amber,,"The Infrastructure Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 is Amber. This is primarily due to the following factors. 

The overall Delivery Confidence Assessment for the NDR Reforms Programme is Amber.
Work is ongoing to address risks in relation to long-term funding certainty, programme capability and capacity, and dependence on technology change in other programmes.",2022-04-01,2029-03-31 00:00:00,"The project's end-date at 23/24-Q4 is 2029-03-31. This is primarily due to the following factors. 

 The Programme has developed its plan based on the preferred option in the business case.   The schedule remains on track.  Dates for the introduction of new customer requirements and the disclosure of additional information on valuations will be confirmed in due course.",-,-,-,,286,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 increased from 110m. to 286m. This is primarily due to the following factors. 

 Whole life costs have been reviewed and revised at Outline Business Case (OBC) stage.",333,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 2324-Q4 increased from 0m. to 333m. 

"
MOD_0001_1112-Q1,A400M,MOD,Military Capability,"To deliver into RAF Service a worldwide, protected Tactical Air Transport capability that is able to rapidly project, sustain and recover Air and Joint Forces, in order to meet UK standing commitments and support enduring and contingent operations in the most demanding timescales. A400M refers to the overarching programme, the aircraft operated by the RAF is named the â€˜Atlasâ€™.",Not Applicable ,Amber,"Compared to financial year 22/23-Q4, the Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. The continued workforce capacity challenges faced by the Programme. The highest priority Tactical capabilities, as defined by Defence Security Policy and Operations, are being graduated to the Front Line squadrons as quickly as practical and the graduation of further important capabilities will continue.

",2000-05-17 00:00:00,2025-03-31 00:00:00,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 has increased from 2024-03-31 to 2025-03-31. This is primarily due to the following factors. Programme end-date now reflects the forecast date for delivery of the Full Operating Capability (FOC) milestone. Once FOC is achieved, the Programme will transfer to Business as Usual and facilitate graduation from the GMPP.

 ",228.69,260.52,13.91840483,"The budget variance exceeds 5%. This is primarily due to the following factors. Although the Programme overall shows an underspend against its approved costs, the overspend in-year is the result of an increase in support, training, and production resource costs, offset in part by a capital underspend.",3764,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 decreased from 3817m. to 3764m. This is primarily due to the following factors. Reflects a change in the Programmeâ€™s Approved Budgetary Level.

 ",0,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 0m. 

"
