project_name,task_id,task_name,update_phase,predicted_end_date,prediction_low_date,prediction_high_date,predicted_slip_days,forecast_confidence,model_type,low_confidence_flag,forecast_mae_days,forecast_p80_error_days,validation_windows,confidence_reason,severity_score
Alpha,tsk-059,Task 059,after Update_015,2025-10-09,2025-09-13,2025-11-03,152.0,0.428,Last reported position,True,19.2,25.2,5,5 rolling tests; typical error 19.2 days; next update is stable,10.0
Alpha,tsk-019,Task 019,after Update_015,2025-07-17,2025-07-16,2025-07-18,29.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,10.0
Alpha,tsk-033,Task 033,after Update_015,2025-09-08,2025-09-07,2025-09-09,28.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,10.0
Alpha,tsk-064,Task 064,after Update_015,2025-11-03,2025-11-02,2025-11-04,25.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,10.0
Alpha,tsk-001,Task 001,after Update_015,2025-10-02,2025-10-01,2025-10-03,24.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,10.0
Alpha,tsk-054,Task 054,after Update_015,2025-10-25,2025-10-24,2025-10-26,24.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,10.0
Alpha,tsk-017,Task 017,after Update_015,2025-05-17,2025-05-16,2025-05-18,23.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,10.0
Alpha,tsk-053,Task 053,after Update_015,2025-08-07,2025-08-06,2025-08-08,23.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,10.0
Alpha,tsk-050,Task 050,after Update_015,2025-05-10,2025-05-09,2025-05-11,21.0,0.94,Last reported position,False,0.2,1.0,5,5 rolling tests; typical error 0.2 days; next update is stable,10.0
Alpha,tsk-071,Task 071,after Update_015,2025-02-23,2025-02-22,2025-02-24,21.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,10.0
Alpha,tsk-008,Task 008,after Update_015,2025-09-07,2025-09-06,2025-09-08,18.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,10.0
Alpha,tsk-027,Task 027,after Update_015,2025-10-08,2025-10-07,2025-10-09,14.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,10.0
Alpha,tsk-042,Task 042,after Update_015,2025-01-25,2025-01-24,2025-01-26,13.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,10.0
Alpha,tsk-010,Task 010,after Update_015,2025-09-12,2025-09-11,2025-09-13,10.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,10.0
Alpha,tsk-043,Task 043,after Update_015,2025-05-31,2025-05-30,2025-06-01,8.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,8.0
Alpha,tsk-003,Task 003,after Update_015,2025-03-23,2025-03-22,2025-03-24,7.0,0.94,Last reported position,False,0.2,1.0,5,5 rolling tests; typical error 0.2 days; next update is stable,7.0
Alpha,tsk-058,Task 058,after Update_015,2025-06-05,2025-06-04,2025-06-06,5.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,5.0
Alpha,tsk-067,Task 067,after Update_015,2025-02-21,2025-02-19,2025-02-22,5.0,0.902,Last reported position,False,1.0,1.6,5,5 rolling tests; typical error 1.0 days; next update is stable,5.0
Alpha,tsk-002,Task 002,after Update_015,2025-07-26,2025-07-25,2025-07-27,2.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,2.0
Alpha,tsk-055,Task 055,after Update_015,2025-01-17,2025-01-16,2025-01-18,2.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,2.0
Alpha,tsk-073,Task 073,after Update_015,2025-10-25,2025-10-24,2025-10-26,2.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,2.0
Alpha,tsk-045,Task 045,after Update_015,2025-06-01,2025-05-31,2025-06-02,1.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,1.0
Alpha,tsk-065,Task 065,after Update_015,2025-05-20,2025-05-19,2025-05-21,0.0,0.911,Last reported position,False,0.8,1.0,5,5 rolling tests; typical error 0.8 days; next update is stable,0.0
Alpha,tsk-025,Task 025,after Update_015,2025-07-04,2025-07-03,2025-07-05,-2.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,0.0
Alpha,tsk-046,Task 046,after Update_015,2025-11-05,2025-11-04,2025-11-06,-2.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,0.0
Alpha,tsk-039,Task 039,after Update_015,2025-10-31,2025-10-30,2025-11-01,-3.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,0.0
Alpha,tsk-004,Task 004,after Update_015,2025-07-26,2025-07-25,2025-07-27,-4.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,1.0
Alpha,tsk-040,Task 040,after Update_015,2025-10-30,2025-10-29,2025-10-31,-4.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,1.0
Alpha,tsk-020,Task 020,after Update_015,2025-09-13,2025-09-12,2025-09-14,-5.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,0.0
Alpha,tsk-069,Task 069,after Update_015,2025-03-01,2025-02-28,2025-03-02,-10.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,0.0
Alpha,tsk-060,Task 060,after Update_015,2025-06-25,2025-06-24,2025-06-26,-44.0,0.95,Last reported position,False,0.0,1.0,5,5 rolling tests; typical error 0.0 days; next update is stable,0.0
