project_name,task_id,task_name,recommendation,severity,confidence,trigger
Alpha,tsk-072,Task 072,"Task shows significant slippage (36 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-074,Task 074,"Task shows significant slippage (46 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,tsk-075,Task 075,"Task shows significant slippage (71 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Alpha,0,Task tsk-005,A significant change point in slippage trend was detected around update phase 'Update_013' (Slippage: 119 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,1,Task tsk-007,A significant change point in slippage trend was detected around update phase 'Update_008' (Slippage: 87 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,2,Task tsk-012,A significant change point in slippage trend was detected around update phase 'Update_009' (Slippage: 37 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,3,Task tsk-015,A significant change point in slippage trend was detected around update phase 'Update_008' (Slippage: 88 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,4,Task tsk-022,A significant change point in slippage trend was detected around update phase 'Update_010' (Slippage: 98 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,5,Task tsk-034,A significant change point in slippage trend was detected around update phase 'Update_013' (Slippage: 42 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,6,Task tsk-036,A significant change point in slippage trend was detected around update phase 'Update_009' (Slippage: 59 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,7,Task tsk-050,A significant change point in slippage trend was detected around update phase 'Update_009' (Slippage: 20 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,8,Task tsk-051,A significant change point in slippage trend was detected around update phase 'Update_009' (Slippage: 55 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,9,Task tsk-064,A significant change point in slippage trend was detected around update phase 'Update_006' (Slippage: 25 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,10,Task tsk-066,A significant change point in slippage trend was detected around update phase 'Update_010' (Slippage: 32 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
Alpha,11,Task tsk-072,A significant change point in slippage trend was detected around update phase 'Update_006' (Slippage: 14 days). Investigate events or factors causing this shift.,Medium,0.75,Change Point Detected (PELT)
