project_name,task_id,update_phase,task_name,baseline_end,end_date,slip_days,severity_score,change_type
Alpha,tsk-044,update_4,Task 044,2025-11-05,2025-11-03,-2,0,Early Finish
Alpha,tsk-045,update_4,Task 045,2025-10-28,2025-11-24,27,2,Delay
Alpha,tsk-046,update_4,Task 046,2025-01-23,2025-01-25,2,1,Delay
Alpha,tsk-047,update_4,Task 047,2025-02-13,2025-03-11,26,2,Delay
Alpha,tsk-048,update_4,Task 048,2025-02-09,2025-02-21,12,2,Delay
Alpha,tsk-049,update_4,Task 049,2025-03-15,2025-04-01,17,2,Delay
Alpha,tsk-050,update_4,Task 050,2025-12-13,2025-12-25,12,2,Delay
Alpha,tsk-001,update_5,Task 001,2025-10-31,2025-11-15,15,2,Delay
Alpha,tsk-002,update_5,Task 002,2025-10-23,2025-11-12,20,2,Delay
Alpha,tsk-003,update_5,Task 003,2025-02-01,2025-02-24,23,2,Delay
Alpha,tsk-005,update_5,Task 005,2025-06-15,2025-06-20,5,1,Delay
Alpha,tsk-006,update_5,Task 006,2024-12-26,2025-01-08,13,2,Delay
Alpha,tsk-007,update_5,Task 007,2025-11-16,2025-11-21,5,1,Delay
Alpha,tsk-008,update_5,Task 008,2025-04-21,2025-04-25,4,1,Delay
Alpha,tsk-009,update_5,Task 009,2025-09-22,2025-10-05,13,2,Delay
Alpha,tsk-010,update_5,Task 010,2025-08-02,2025-08-16,14,2,Delay
Alpha,tsk-011,update_5,Task 011,2025-10-20,2025-11-02,13,2,Delay
Alpha,tsk-012,update_5,Task 012,2025-03-19,2025-04-02,14,2,Delay
Alpha,tsk-014,update_5,Task 014,2025-01-09,2025-01-28,19,2,Delay
Alpha,tsk-015,update_5,Task 015,2025-07-11,2025-07-25,14,2,Delay
Alpha,tsk-017,update_5,Task 017,2025-05-20,2025-05-19,-1,0,Early Finish
Alpha,tsk-018,update_5,Task 018,2025-11-26,2025-11-21,-5,0,Early Finish
Alpha,tsk-019,update_5,Task 019,2025-06-07,2025-06-19,12,2,Delay
Alpha,tsk-020,update_5,Task 020,2025-06-30,2025-06-26,-4,0,Early Finish
Alpha,tsk-021,update_5,Task 021,2025-05-14,2025-05-20,6,1,Delay
Alpha,tsk-023,update_5,Task 023,2025-06-03,2025-06-15,12,2,Delay
Alpha,tsk-025,update_5,Task 025,2025-03-23,2025-04-09,17,2,Delay
Alpha,tsk-026,update_5,Task 026,2025-01-22,2025-02-06,15,2,Delay
Alpha,tsk-027,update_5,Task 027,2025-07-31,2025-08-15,15,2,Delay
Alpha,tsk-030,update_5,Task 030,2025-02-25,2025-03-28,31,3,Delay
Alpha,tsk-031,update_5,Task 031,2025-08-26,2025-08-27,1,1,Delay
Alpha,tsk-032,update_5,Task 032,2025-04-08,2025-04-27,19,2,Delay
Alpha,tsk-033,update_5,Task 033,2025-09-26,2025-10-02,6,1,Delay
Alpha,tsk-034,update_5,Task 034,2025-08-24,2025-08-25,1,1,Delay
Alpha,tsk-035,update_5,Task 035,2025-06-23,2025-07-01,8,2,Delay
Alpha,tsk-036,update_5,Task 036,2025-04-28,2025-05-08,10,2,Delay
Alpha,tsk-037,update_5,Task 037,2025-01-01,2025-01-21,20,2,Delay
Alpha,tsk-039,update_5,Task 039,2025-05-03,2025-05-11,8,2,Delay
Alpha,tsk-041,update_5,Task 041,2025-08-20,2025-09-28,39,3,Delay
Alpha,tsk-042,update_5,Task 042,2025-03-13,2025-04-13,31,3,Delay
Alpha,tsk-044,update_5,Task 044,2025-11-05,2025-11-06,1,1,Delay
Alpha,tsk-045,update_5,Task 045,2025-10-28,2025-11-27,30,2,Delay
Alpha,tsk-046,update_5,Task 046,2025-01-23,2025-01-25,2,1,Delay
Alpha,tsk-047,update_5,Task 047,2025-02-13,2025-03-11,26,2,Delay
Alpha,tsk-048,update_5,Task 048,2025-02-09,2025-02-21,12,2,Delay
Alpha,tsk-049,update_5,Task 049,2025-03-15,2025-04-01,17,2,Delay
Alpha,tsk-050,update_5,Task 050,2025-12-13,2025-12-29,16,2,Delay
Alpha,tsk-001,update_6,Task 001,2025-10-31,2025-11-15,15,2,Delay
Alpha,tsk-002,update_6,Task 002,2025-10-23,2025-11-12,20,2,Delay
Alpha,tsk-003,update_6,Task 003,2025-02-01,2025-02-24,23,2,Delay
Alpha,tsk-005,update_6,Task 005,2025-06-15,2025-06-20,5,1,Delay
Alpha,tsk-006,update_6,Task 006,2024-12-26,2025-01-08,13,2,Delay
Alpha,tsk-007,update_6,Task 007,2025-11-16,2025-11-21,5,1,Delay
Alpha,tsk-008,update_6,Task 008,2025-04-21,2025-05-01,10,2,Delay
Alpha,tsk-009,update_6,Task 009,2025-09-22,2025-10-05,13,2,Delay
Alpha,tsk-010,update_6,Task 010,2025-08-02,2025-08-16,14,2,Delay
Alpha,tsk-011,update_6,Task 011,2025-10-20,2025-11-05,16,2,Delay
Alpha,tsk-012,update_6,Task 012,2025-03-19,2025-04-02,14,2,Delay
Alpha,tsk-014,update_6,Task 014,2025-01-09,2025-01-28,19,2,Delay
Alpha,tsk-015,update_6,Task 015,2025-07-11,2025-07-25,14,2,Delay
Alpha,tsk-017,update_6,Task 017,2025-05-20,2025-05-19,-1,0,Early Finish
Alpha,tsk-018,update_6,Task 018,2025-11-26,2025-11-21,-5,0,Early Finish
Alpha,tsk-019,update_6,Task 019,2025-06-07,2025-06-19,12,2,Delay
Alpha,tsk-020,update_6,Task 020,2025-06-30,2025-06-26,-4,0,Early Finish
Alpha,tsk-021,update_6,Task 021,2025-05-14,2025-05-20,6,1,Delay
Alpha,tsk-023,update_6,Task 023,2025-06-03,2025-06-21,18,2,Delay
Alpha,tsk-024,update_6,Task 024,2024-12-15,2024-12-22,7,1,Delay
Alpha,tsk-025,update_6,Task 025,2025-03-23,2025-04-09,17,2,Delay
Alpha,tsk-026,update_6,Task 026,2025-01-22,2025-02-06,15,2,Delay
Alpha,tsk-027,update_6,Task 027,2025-07-31,2025-08-15,15,2,Delay
Alpha,tsk-028,update_6,Task 028,2025-03-15,2025-03-21,6,1,Delay
Alpha,tsk-030,update_6,Task 030,2025-02-25,2025-03-28,31,3,Delay
Alpha,tsk-031,update_6,Task 031,2025-08-26,2025-08-27,1,1,Delay
Alpha,tsk-032,update_6,Task 032,2025-04-08,2025-04-27,19,2,Delay
Alpha,tsk-033,update_6,Task 033,2025-09-26,2025-10-02,6,1,Delay
Alpha,tsk-034,update_6,Task 034,2025-08-24,2025-10-05,42,3,Delay
Alpha,tsk-035,update_6,Task 035,2025-06-23,2025-07-01,8,2,Delay
Alpha,tsk-036,update_6,Task 036,2025-04-28,2025-05-08,10,2,Delay
Alpha,tsk-037,update_6,Task 037,2025-01-01,2025-01-21,20,2,Delay
Alpha,tsk-038,update_6,Task 038,2025-05-11,2025-06-14,34,3,Delay
Alpha,tsk-039,update_6,Task 039,2025-05-03,2025-05-17,14,2,Delay
Alpha,tsk-041,update_6,Task 041,2025-08-20,2025-09-28,39,3,Delay
Alpha,tsk-042,update_6,Task 042,2025-03-13,2025-04-19,37,3,Delay
Alpha,tsk-044,update_6,Task 044,2025-11-05,2025-11-06,1,1,Delay
Alpha,tsk-045,update_6,Task 045,2025-10-28,2025-11-27,30,2,Delay
Alpha,tsk-046,update_6,Task 046,2025-01-23,2025-01-25,2,1,Delay
Alpha,tsk-047,update_6,Task 047,2025-02-13,2025-03-11,26,2,Delay
Alpha,tsk-048,update_6,Task 048,2025-02-09,2025-02-21,12,2,Delay
Alpha,tsk-049,update_6,Task 049,2025-03-15,2025-04-01,17,2,Delay
Alpha,tsk-050,update_6,Task 050,2025-12-13,2025-12-29,16,2,Delay
Alpha,tsk-001,update_7,Task 001,2025-10-31,2025-11-15,15,2,Delay
Alpha,tsk-002,update_7,Task 002,2025-10-23,2025-11-12,20,2,Delay
Alpha,tsk-003,update_7,Task 003,2025-02-01,2025-02-24,23,2,Delay
Alpha,tsk-005,update_7,Task 005,2025-06-15,2025-06-20,5,1,Delay
Alpha,tsk-006,update_7,Task 006,2024-12-26,2025-01-08,13,2,Delay
Alpha,tsk-007,update_7,Task 007,2025-11-16,2025-11-21,5,1,Delay
Alpha,tsk-008,update_7,Task 008,2025-04-21,2025-05-01,10,2,Delay
Alpha,tsk-009,update_7,Task 009,2025-09-22,2025-10-05,13,2,Delay
Alpha,tsk-010,update_7,Task 010,2025-08-02,2025-08-20,18,2,Delay
Alpha,tsk-011,update_7,Task 011,2025-10-20,2025-11-09,20,2,Delay
Alpha,tsk-012,update_7,Task 012,2025-03-19,2025-04-02,14,2,Delay
Alpha,tsk-013,update_7,Task 013,2025-11-05,2025-11-03,-2,0,Early Finish
Alpha,tsk-014,update_7,Task 014,2025-01-09,2025-02-04,26,2,Delay
Alpha,tsk-015,update_7,Task 015,2025-07-11,2025-07-25,14,2,Delay
Alpha,tsk-016,update_7,Task 016,2025-01-01,2025-01-14,13,2,Delay
Alpha,tsk-017,update_7,Task 017,2025-05-20,2025-05-19,-1,0,Early Finish
Alpha,tsk-018,update_7,Task 018,2025-11-26,2025-11-21,-5,0,Early Finish
Alpha,tsk-019,update_7,Task 019,2025-06-07,2025-06-19,12,2,Delay
Alpha,tsk-020,update_7,Task 020,2025-06-30,2025-06-26,-4,0,Early Finish
Alpha,tsk-021,update_7,Task 021,2025-05-14,2025-05-20,6,1,Delay
Alpha,tsk-023,update_7,Task 023,2025-06-03,2025-06-21,18,2,Delay
Alpha,tsk-024,update_7,Task 024,2024-12-15,2024-12-22,7,1,Delay
Alpha,tsk-025,update_7,Task 025,2025-03-23,2025-04-15,23,2,Delay
Alpha,tsk-026,update_7,Task 026,2025-01-22,2025-02-06,15,2,Delay
Alpha,tsk-027,update_7,Task 027,2025-07-31,2025-08-15,15,2,Delay
Alpha,tsk-028,update_7,Task 028,2025-03-15,2025-03-20,5,1,Delay
Alpha,tsk-029,update_7,Task 029,2025-10-01,2025-10-19,18,2,Delay
Alpha,tsk-030,update_7,Task 030,2025-02-25,2025-03-28,31,3,Delay
Alpha,tsk-031,update_7,Task 031,2025-08-26,2025-08-27,1,1,Delay
Alpha,tsk-032,update_7,Task 032,2025-04-08,2025-05-04,26,2,Delay
Alpha,tsk-033,update_7,Task 033,2025-09-26,2025-10-02,6,1,Delay
Alpha,tsk-034,update_7,Task 034,2025-08-24,2025-10-02,39,3,Delay
Alpha,tsk-035,update_7,Task 035,2025-06-23,2025-07-06,13,2,Delay
Alpha,tsk-036,update_7,Task 036,2025-04-28,2025-05-08,10,2,Delay
Alpha,tsk-037,update_7,Task 037,2025-01-01,2025-01-21,20,2,Delay
Alpha,tsk-038,update_7,Task 038,2025-05-11,2025-06-25,45,3,Delay
Alpha,tsk-039,update_7,Task 039,2025-05-03,2025-05-17,14,2,Delay
Alpha,tsk-041,update_7,Task 041,2025-08-20,2025-09-28,39,3,Delay
Alpha,tsk-042,update_7,Task 042,2025-03-13,2025-04-19,37,3,Delay
Alpha,tsk-044,update_7,Task 044,2025-11-05,2025-11-09,4,1,Delay
Alpha,tsk-045,update_7,Task 045,2025-10-28,2025-12-02,35,3,Delay
Alpha,tsk-046,update_7,Task 046,2025-01-23,2025-01-27,4,1,Delay
Alpha,tsk-047,update_7,Task 047,2025-02-13,2025-03-11,26,2,Delay
Alpha,tsk-048,update_7,Task 048,2025-02-09,2025-02-26,17,2,Delay
Alpha,tsk-049,update_7,Task 049,2025-03-15,2025-04-01,17,2,Delay
Alpha,tsk-050,update_7,Task 050,2025-12-13,2025-12-29,16,2,Delay
Alpha,tsk-001,update_8,Task 001,2025-10-31,2025-11-15,15,2,Delay
Alpha,tsk-002,update_8,Task 002,2025-10-23,2025-11-12,20,2,Delay
Alpha,tsk-003,update_8,Task 003,2025-02-01,2025-02-24,23,2,Delay
Alpha,tsk-004,update_8,Task 004,2025-09-10,2025-09-25,15,2,Delay
Alpha,tsk-005,update_8,Task 005,2025-06-15,2025-06-20,5,1,Delay
Alpha,tsk-006,update_8,Task 006,2024-12-26,2025-01-10,15,2,Delay
Alpha,tsk-007,update_8,Task 007,2025-11-16,2025-11-28,12,2,Delay
Alpha,tsk-008,update_8,Task 008,2025-04-21,2025-05-01,10,2,Delay
Alpha,tsk-009,update_8,Task 009,2025-09-22,2025-10-05,13,2,Delay
Alpha,tsk-010,update_8,Task 010,2025-08-02,2025-08-20,18,2,Delay
Alpha,tsk-011,update_8,Task 011,2025-10-20,2025-11-09,20,2,Delay
Alpha,tsk-012,update_8,Task 012,2025-03-19,2025-04-02,14,2,Delay
Alpha,tsk-013,update_8,Task 013,2025-11-05,2025-10-31,-5,0,Early Finish
Alpha,tsk-014,update_8,Task 014,2025-01-09,2025-02-04,26,2,Delay
Alpha,tsk-015,update_8,Task 015,2025-07-11,2025-07-25,14,2,Delay
Alpha,tsk-016,update_8,Task 016,2025-01-01,2025-01-14,13,2,Delay
Alpha,tsk-017,update_8,Task 017,2025-05-20,2025-05-24,4,1,Delay
Alpha,tsk-018,update_8,Task 018,2025-11-26,2025-11-21,-5,0,Early Finish
Alpha,tsk-019,update_8,Task 019,2025-06-07,2025-06-19,12,2,Delay
Alpha,tsk-020,update_8,Task 020,2025-06-30,2025-06-26,-4,0,Early Finish
Alpha,tsk-021,update_8,Task 021,2025-05-14,2025-05-20,6,1,Delay
Alpha,tsk-023,update_8,Task 023,2025-06-03,2025-06-21,18,2,Delay
Alpha,tsk-024,update_8,Task 024,2024-12-15,2024-12-22,7,1,Delay
Alpha,tsk-025,update_8,Task 025,2025-03-23,2025-04-21,29,2,Delay
Alpha,tsk-026,update_8,Task 026,2025-01-22,2025-02-06,15,2,Delay
Alpha,tsk-027,update_8,Task 027,2025-07-31,2025-08-15,15,2,Delay
Alpha,tsk-028,update_8,Task 028,2025-03-15,2025-03-22,7,1,Delay
Alpha,tsk-029,update_8,Task 029,2025-10-01,2025-10-19,18,2,Delay
Alpha,tsk-030,update_8,Task 030,2025-02-25,2025-03-28,31,3,Delay
Alpha,tsk-031,update_8,Task 031,2025-08-26,2025-09-02,7,1,Delay
Alpha,tsk-032,update_8,Task 032,2025-04-08,2025-05-04,26,2,Delay
Alpha,tsk-033,update_8,Task 033,2025-09-26,2025-10-02,6,1,Delay
Alpha,tsk-034,update_8,Task 034,2025-08-24,2025-10-02,39,3,Delay
Alpha,tsk-035,update_8,Task 035,2025-06-23,2025-07-06,13,2,Delay
Alpha,tsk-036,update_8,Task 036,2025-04-28,2025-05-08,10,2,Delay
Alpha,tsk-037,update_8,Task 037,2025-01-01,2025-01-21,20,2,Delay
Alpha,tsk-038,update_8,Task 038,2025-05-11,2025-06-25,45,3,Delay
Alpha,tsk-039,update_8,Task 039,2025-05-03,2025-05-17,14,2,Delay
Alpha,tsk-041,update_8,Task 041,2025-08-20,2025-09-28,39,3,Delay
Alpha,tsk-042,update_8,Task 042,2025-03-13,2025-04-19,37,3,Delay
Alpha,tsk-043,update_8,Task 043,2025-02-06,2025-02-19,13,2,Delay
Alpha,tsk-044,update_8,Task 044,2025-11-05,2025-11-09,4,1,Delay
Alpha,tsk-045,update_8,Task 045,2025-10-28,2025-12-02,35,3,Delay
Alpha,tsk-046,update_8,Task 046,2025-01-23,2025-01-27,4,1,Delay
Alpha,tsk-047,update_8,Task 047,2025-02-13,2025-03-13,28,2,Delay
Alpha,tsk-048,update_8,Task 048,2025-02-09,2025-02-26,17,2,Delay
Alpha,tsk-049,update_8,Task 049,2025-03-15,2025-04-01,17,2,Delay
Alpha,tsk-050,update_8,Task 050,2025-12-13,2025-12-29,16,2,Delay
Alpha,tsk-001,update_9,Task 001,2025-10-31,2025-11-15,15,2,Delay
Alpha,tsk-002,update_9,Task 002,2025-10-23,2025-11-17,25,2,Delay
Alpha,tsk-003,update_9,Task 003,2025-02-01,2025-02-24,23,2,Delay
Alpha,tsk-004,update_9,Task 004,2025-09-10,2025-11-03,54,3,Delay
Alpha,tsk-005,update_9,Task 005,2025-06-15,2025-06-20,5,1,Delay
Alpha,tsk-006,update_9,Task 006,2024-12-26,2025-01-10,15,2,Delay
Alpha,tsk-007,update_9,Task 007,2025-11-16,2025-11-28,12,2,Delay
Alpha,tsk-008,update_9,Task 008,2025-04-21,2025-05-01,10,2,Delay
Alpha,tsk-009,update_9,Task 009,2025-09-22,2025-10-05,13,2,Delay
Alpha,tsk-010,update_9,Task 010,2025-08-02,2025-08-20,18,2,Delay
Alpha,tsk-011,update_9,Task 011,2025-10-20,2025-11-09,20,2,Delay
Alpha,tsk-012,update_9,Task 012,2025-03-19,2025-04-02,14,2,Delay
Alpha,tsk-013,update_9,Task 013,2025-11-05,2025-10-31,-5,0,Early Finish
Alpha,tsk-014,update_9,Task 014,2025-01-09,2025-02-04,26,2,Delay
Alpha,tsk-015,update_9,Task 015,2025-07-11,2025-07-25,14,2,Delay
Alpha,tsk-016,update_9,Task 016,2025-01-01,2025-01-14,13,2,Delay
Alpha,tsk-017,update_9,Task 017,2025-05-20,2025-05-24,4,1,Delay
Alpha,tsk-018,update_9,Task 018,2025-11-26,2025-11-20,-6,0,Early Finish
Alpha,tsk-019,update_9,Task 019,2025-06-07,2025-06-19,12,2,Delay
Alpha,tsk-020,update_9,Task 020,2025-06-30,2025-06-26,-4,0,Early Finish
Alpha,tsk-021,update_9,Task 021,2025-05-14,2025-05-24,10,2,Delay
Alpha,tsk-022,update_9,Task 022,2025-02-11,2025-02-24,13,2,Delay
Alpha,tsk-023,update_9,Task 023,2025-06-03,2025-06-21,18,2,Delay
Alpha,tsk-024,update_9,Task 024,2024-12-15,2024-12-25,10,2,Delay
Alpha,tsk-025,update_9,Task 025,2025-03-23,2025-04-21,29,2,Delay
Alpha,tsk-026,update_9,Task 026,2025-01-22,2025-02-06,15,2,Delay
Alpha,tsk-027,update_9,Task 027,2025-07-31,2025-08-16,16,2,Delay
Alpha,tsk-028,update_9,Task 028,2025-03-15,2025-03-22,7,1,Delay
Alpha,tsk-029,update_9,Task 029,2025-10-01,2025-10-19,18,2,Delay
Alpha,tsk-030,update_9,Task 030,2025-02-25,2025-03-28,31,3,Delay
Alpha,tsk-031,update_9,Task 031,2025-08-26,2025-09-02,7,1,Delay
Alpha,tsk-032,update_9,Task 032,2025-04-08,2025-05-04,26,2,Delay
Alpha,tsk-033,update_9,Task 033,2025-09-26,2025-10-02,6,1,Delay
Alpha,tsk-034,update_9,Task 034,2025-08-24,2025-10-02,39,3,Delay
Alpha,tsk-035,update_9,Task 035,2025-06-23,2025-07-06,13,2,Delay
Alpha,tsk-036,update_9,Task 036,2025-04-28,2025-05-08,10,2,Delay
Alpha,tsk-037,update_9,Task 037,2025-01-01,2025-01-21,20,2,Delay
Alpha,tsk-038,update_9,Task 038,2025-05-11,2025-06-25,45,3,Delay
Alpha,tsk-039,update_9,Task 039,2025-05-03,2025-05-17,14,2,Delay
Alpha,tsk-040,update_9,Task 040,2025-05-02,2025-04-27,-5,0,Early Finish
Alpha,tsk-041,update_9,Task 041,2025-08-20,2025-09-28,39,3,Delay
Alpha,tsk-042,update_9,Task 042,2025-03-13,2025-04-19,37,3,Delay
Alpha,tsk-043,update_9,Task 043,2025-02-06,2025-02-19,13,2,Delay
Alpha,tsk-044,update_9,Task 044,2025-11-05,2025-11-09,4,1,Delay
Alpha,tsk-045,update_9,Task 045,2025-10-28,2025-12-02,35,3,Delay
Alpha,tsk-046,update_9,Task 046,2025-01-23,2025-01-29,6,1,Delay
Alpha,tsk-047,update_9,Task 047,2025-02-13,2025-03-13,28,2,Delay
Alpha,tsk-048,update_9,Task 048,2025-02-09,2025-02-28,19,2,Delay
Alpha,tsk-049,update_9,Task 049,2025-03-15,2025-04-01,17,2,Delay
Alpha,tsk-050,update_9,Task 050,2025-12-13,2025-12-29,16,2,Delay
Alpha,tsk-001,update_10,Task 001,2025-10-31,2025-11-15,15,2,Delay
Alpha,tsk-002,update_10,Task 002,2025-10-23,2025-11-24,32,3,Delay
Alpha,tsk-003,update_10,Task 003,2025-02-01,2025-02-24,23,2,Delay
Alpha,tsk-004,update_10,Task 004,2025-09-10,2025-11-03,54,3,Delay
Alpha,tsk-005,update_10,Task 005,2025-06-15,2025-06-27,12,2,Delay
Alpha,tsk-006,update_10,Task 006,2024-12-26,2025-01-10,15,2,Delay
Alpha,tsk-007,update_10,Task 007,2025-11-16,2025-11-28,12,2,Delay
Alpha,tsk-008,update_10,Task 008,2025-04-21,2025-05-01,10,2,Delay
Alpha,tsk-009,update_10,Task 009,2025-09-22,2025-10-05,13,2,Delay
Alpha,tsk-010,update_10,Task 010,2025-08-02,2025-08-26,24,2,Delay
Alpha,tsk-011,update_10,Task 011,2025-10-20,2025-11-09,20,2,Delay
Alpha,tsk-012,update_10,Task 012,2025-03-19,2025-04-02,14,2,Delay
Alpha,tsk-013,update_10,Task 013,2025-11-05,2025-11-04,-1,0,Early Finish
Alpha,tsk-014,update_10,Task 014,2025-01-09,2025-02-04,26,2,Delay
Alpha,tsk-015,update_10,Task 015,2025-07-11,2025-07-25,14,2,Delay
Alpha,tsk-016,update_10,Task 016,2025-01-01,2025-01-19,18,2,Delay
Alpha,tsk-017,update_10,Task 017,2025-05-20,2025-05-24,4,1,Delay
Alpha,tsk-018,update_10,Task 018,2025-11-26,2025-11-20,-6,0,Early Finish
Alpha,tsk-019,update_10,Task 019,2025-06-07,2025-06-19,12,2,Delay
Alpha,tsk-020,update_10,Task 020,2025-06-30,2025-06-26,-4,0,Early Finish
Alpha,tsk-021,update_10,Task 021,2025-05-14,2025-05-24,10,2,Delay
Alpha,tsk-022,update_10,Task 022,2025-02-11,2025-02-24,13,2,Delay
Alpha,tsk-023,update_10,Task 023,2025-06-03,2025-06-22,19,2,Delay
Alpha,tsk-024,update_10,Task 024,2024-12-15,2024-12-26,11,2,Delay
Alpha,tsk-025,update_10,Task 025,2025-03-23,2025-04-21,29,2,Delay
