project_name,task_id,update_phase,task_name,baseline_end_date,actual_finish,slip_days,severity_score,change_type
Gamma,tsk-003,Update_009,Task 003,2025-04-29,NA,0.0,0.0,Initial
Gamma,tsk-003,Update_010,Task 003,2025-04-29,2025-05-20,21.0,10.0,Initial
Gamma,tsk-003,Update_011,Task 003,2025-04-29,2025-05-20,21.0,10.0,No Change
Gamma,tsk-003,Update_012,Task 003,2025-04-29,2025-05-20,21.0,10.0,No Change
Gamma,tsk-003,Update_013,Task 003,2025-04-29,2025-05-20,21.0,10.0,No Change
Gamma,tsk-003,Update_014,Task 003,2025-04-29,2025-05-20,21.0,10.0,No Change
Gamma,tsk-003,Update_015,Task 003,2025-04-29,2025-05-20,21.0,10.0,No Change
Gamma,tsk-004,Update_001,Task 004,2025-09-04,2025-09-28,24.0,10.0,Initial
Gamma,tsk-004,Update_002,Task 004,2025-09-04,2025-09-28,24.0,10.0,No Change
Gamma,tsk-004,Update_003,Task 004,2025-09-04,2025-09-28,24.0,10.0,No Change
Gamma,tsk-004,Update_004,Task 004,2025-09-04,2025-09-28,24.0,10.0,No Change
Gamma,tsk-004,Update_005,Task 004,2025-09-04,2025-09-28,24.0,10.0,No Change
Gamma,tsk-004,Update_006,Task 004,2025-09-04,2025-09-28,24.0,10.0,No Change
Gamma,tsk-004,Update_007,Task 004,NA,NA,0.0,0.0,Initial
Gamma,tsk-004,Update_008,Task 004,2025-09-04,2025-09-28,24.0,10.0,Initial
Gamma,tsk-004,Update_009,Task 004,2025-09-04,2025-09-28,24.0,10.0,No Change
Gamma,tsk-004,Update_010,Task 004,2025-09-04,2025-09-28,24.0,10.0,No Change
Gamma,tsk-004,Update_011,Task 004,2025-09-04,2025-09-28,24.0,10.0,No Change
Gamma,tsk-004,Update_012,Task 004,2025-09-04,2025-08-13,-22.0,0.0,Recovered
Gamma,tsk-004,Update_013,Task 004,2025-09-04,2025-08-16,-19.0,0.0,Slipped Further
Gamma,tsk-004,Update_014,Task 004,2025-09-04,2025-08-16,-19.0,0.0,No Change
Gamma,tsk-004,Update_015,Task 004,2025-09-04,2025-08-16,-19.0,0.0,No Change
Gamma,tsk-005,Update_001,Task 005,2025-05-24,NA,0.0,0.0,Initial
Gamma,tsk-005,Update_002,Task 005,2025-05-24,NA,0.0,0.0,Initial
Gamma,tsk-005,Update_003,Task 005,2025-05-24,NA,0.0,0.0,Initial
Gamma,tsk-005,Update_004,Task 005,2025-05-24,NA,0.0,0.0,Initial
Gamma,tsk-005,Update_005,Task 005,2025-05-24,NA,0.0,0.0,Initial
Gamma,tsk-005,Update_006,Task 005,2025-05-24,2025-06-09,16.0,10.0,Initial
Gamma,tsk-005,Update_007,Task 005,NA,NA,0.0,0.0,Initial
Gamma,tsk-005,Update_008,Task 005,2025-05-24,2025-06-09,16.0,10.0,Initial
Gamma,tsk-005,Update_009,Task 005,2025-05-24,2025-06-09,16.0,10.0,No Change
Gamma,tsk-005,Update_010,Task 005,2025-05-24,2025-06-09,16.0,10.0,No Change
Gamma,tsk-005,Update_011,Task 005,2025-05-24,2025-06-09,16.0,10.0,No Change
Gamma,tsk-005,Update_012,Task 005,2025-05-24,2025-06-09,16.0,10.0,No Change
Gamma,tsk-005,Update_013,Task 005,2025-05-24,2025-06-09,16.0,10.0,No Change
Gamma,tsk-005,Update_014,Task 005,2025-05-24,2025-06-09,16.0,10.0,No Change
Gamma,tsk-005,Update_015,Task 005,2025-05-24,2025-06-09,16.0,10.0,No Change
Gamma,tsk-006,Update_001,Task 006,2025-03-19,NA,0.0,0.0,Initial
Gamma,tsk-006,Update_002,Task 006,2025-03-19,NA,0.0,0.0,Initial
Gamma,tsk-006,Update_003,Task 006,2025-03-19,NA,0.0,0.0,Initial
Gamma,tsk-006,Update_004,Task 006,2025-03-19,NA,0.0,0.0,Initial
Gamma,tsk-006,Update_005,Task 006,2025-03-19,NA,0.0,0.0,Initial
Gamma,tsk-006,Update_006,Task 006,2025-03-19,2025-04-19,31.0,10.0,Initial
Gamma,tsk-006,Update_007,Task 006,NA,NA,0.0,0.0,Initial
Gamma,tsk-006,Update_008,Task 006,2025-03-19,2025-04-19,31.0,10.0,Initial
Gamma,tsk-006,Update_009,Task 006,2025-03-19,2025-04-19,31.0,10.0,No Change
Gamma,tsk-006,Update_010,Task 006,2025-03-19,2025-04-19,31.0,10.0,No Change
Gamma,tsk-006,Update_011,Task 006,2025-03-19,2025-04-19,31.0,10.0,No Change
Gamma,tsk-006,Update_012,Task 006,2025-03-19,2025-04-19,31.0,10.0,No Change
Gamma,tsk-006,Update_013,Task 006,2025-03-19,2025-04-19,31.0,10.0,No Change
Gamma,tsk-006,Update_014,Task 006,2025-03-19,2025-04-19,31.0,10.0,No Change
Gamma,tsk-006,Update_015,Task 006,2025-03-19,2025-04-19,31.0,10.0,No Change
Gamma,tsk-007,Update_001,Task 007,2025-01-08,NA,0.0,0.0,Initial
Gamma,tsk-007,Update_002,Task 007,2025-01-08,2025-02-16,39.0,10.0,Initial
Gamma,tsk-007,Update_003,Task 007,2025-01-08,2025-02-16,39.0,10.0,No Change
Gamma,tsk-007,Update_004,Task 007,2025-01-08,2025-02-16,39.0,10.0,No Change
Gamma,tsk-007,Update_005,Task 007,2025-01-08,2025-02-16,39.0,10.0,No Change
Gamma,tsk-007,Update_006,Task 007,2025-01-08,2025-02-16,39.0,10.0,No Change
Gamma,tsk-007,Update_007,Task 007,NA,NA,0.0,0.0,Initial
Gamma,tsk-007,Update_008,Task 007,2025-01-08,2025-02-16,39.0,10.0,Initial
Gamma,tsk-007,Update_009,Task 007,2025-01-08,2025-02-16,39.0,10.0,No Change
Gamma,tsk-007,Update_010,Task 007,2025-01-08,2025-02-16,39.0,10.0,No Change
Gamma,tsk-007,Update_011,Task 007,2025-01-08,2025-02-16,39.0,10.0,No Change
Gamma,tsk-007,Update_012,Task 007,2025-01-08,2025-02-16,39.0,10.0,No Change
Gamma,tsk-007,Update_013,Task 007,2025-01-08,2025-02-16,39.0,10.0,No Change
Gamma,tsk-007,Update_014,Task 007,2025-01-08,2025-02-16,39.0,10.0,No Change
Gamma,tsk-007,Update_015,Task 007,2025-01-08,2025-02-16,39.0,10.0,No Change
Gamma,tsk-008,Update_001,Task 008,2025-05-09,NA,0.0,0.0,Initial
Gamma,tsk-008,Update_002,Task 008,2025-05-09,2025-05-14,5.0,5.0,Initial
Gamma,tsk-008,Update_003,Task 008,2025-05-09,2025-05-14,5.0,5.0,No Change
Gamma,tsk-008,Update_004,Task 008,2025-05-09,2025-05-14,5.0,5.0,No Change
Gamma,tsk-008,Update_005,Task 008,2025-05-09,2025-05-14,5.0,5.0,No Change
Gamma,tsk-008,Update_006,Task 008,2025-05-09,2025-05-14,5.0,5.0,No Change
Gamma,tsk-008,Update_007,Task 008,NA,NA,0.0,0.0,Initial
Gamma,tsk-008,Update_008,Task 008,2025-05-09,2025-05-14,5.0,5.0,Initial
Gamma,tsk-008,Update_009,Task 008,2025-05-09,2025-05-14,5.0,5.0,No Change
Gamma,tsk-008,Update_010,Task 008,2025-05-09,2025-05-14,5.0,5.0,No Change
Gamma,tsk-008,Update_011,Task 008,2025-05-09,2025-05-14,5.0,5.0,No Change
Gamma,tsk-008,Update_012,Task 008,2025-05-09,2025-05-14,5.0,5.0,No Change
Gamma,tsk-008,Update_013,Task 008,2025-05-09,2025-05-14,5.0,5.0,No Change
Gamma,tsk-008,Update_014,Task 008,2025-05-09,2025-05-14,5.0,5.0,No Change
Gamma,tsk-008,Update_015,Task 008,2025-05-09,2025-05-14,5.0,5.0,No Change
Gamma,tsk-009,Update_001,Task 009,2024-11-21,NA,0.0,0.0,Initial
Gamma,tsk-009,Update_002,Task 009,2024-11-21,NA,0.0,0.0,Initial
Gamma,tsk-009,Update_003,Task 009,2024-11-21,2024-12-15,24.0,10.0,Initial
Gamma,tsk-009,Update_004,Task 009,2024-11-21,2024-12-15,24.0,10.0,No Change
Gamma,tsk-009,Update_005,Task 009,2024-11-21,2024-12-15,24.0,10.0,No Change
Gamma,tsk-009,Update_006,Task 009,2024-11-21,2024-12-15,24.0,10.0,No Change
Gamma,tsk-009,Update_007,Task 009,NA,NA,0.0,0.0,Initial
Gamma,tsk-009,Update_008,Task 009,2024-11-21,2024-12-15,24.0,10.0,Initial
Gamma,tsk-009,Update_009,Task 009,2024-11-21,2024-12-15,24.0,10.0,No Change
Gamma,tsk-009,Update_010,Task 009,2024-11-21,2024-12-15,24.0,10.0,No Change
Gamma,tsk-009,Update_011,Task 009,2024-11-21,2024-12-15,24.0,10.0,No Change
Gamma,tsk-009,Update_012,Task 009,2024-11-21,2024-12-15,24.0,10.0,No Change
Gamma,tsk-009,Update_013,Task 009,2024-11-21,2024-12-15,24.0,10.0,No Change
Gamma,tsk-009,Update_014,Task 009,2024-11-21,2024-12-15,24.0,10.0,No Change
Gamma,tsk-009,Update_015,Task 009,2024-11-21,2024-12-15,24.0,10.0,No Change
Gamma,tsk-010,Update_001,Task 010,2025-01-16,NA,0.0,0.0,Initial
Gamma,tsk-010,Update_002,Task 010,2025-01-16,2025-01-26,10.0,10.0,Initial
Gamma,tsk-010,Update_003,Task 010,2025-01-16,2025-01-26,10.0,10.0,No Change
Gamma,tsk-010,Update_004,Task 010,2025-01-16,2025-01-26,10.0,10.0,No Change
Gamma,tsk-010,Update_005,Task 010,2025-01-16,2025-01-26,10.0,10.0,No Change
Gamma,tsk-010,Update_006,Task 010,2025-01-16,2025-01-29,13.0,10.0,Slipped Further
Gamma,tsk-010,Update_007,Task 010,NA,NA,0.0,0.0,Initial
Gamma,tsk-010,Update_008,Task 010,2025-01-16,2025-01-29,13.0,10.0,Initial
Gamma,tsk-010,Update_009,Task 010,2025-01-16,2025-01-29,13.0,10.0,No Change
Gamma,tsk-010,Update_010,Task 010,2025-01-16,2025-01-29,13.0,10.0,No Change
Gamma,tsk-010,Update_011,Task 010,2025-01-16,2025-01-29,13.0,10.0,No Change
Gamma,tsk-010,Update_012,Task 010,2025-01-16,2025-01-29,13.0,10.0,No Change
Gamma,tsk-010,Update_013,Task 010,2025-01-16,2025-01-29,13.0,10.0,No Change
Gamma,tsk-010,Update_014,Task 010,2025-01-16,2025-01-29,13.0,10.0,No Change
Gamma,tsk-010,Update_015,Task 010,2025-01-16,2025-01-29,13.0,10.0,No Change
Gamma,tsk-011,Update_001,Task 011,2024-11-20,NA,0.0,0.0,Initial
Gamma,tsk-011,Update_002,Task 011,2024-11-20,NA,0.0,0.0,Initial
Gamma,tsk-011,Update_003,Task 011,2024-11-20,NA,0.0,0.0,Initial
Gamma,tsk-011,Update_004,Task 011,2024-11-20,2024-12-17,27.0,10.0,Initial
Gamma,tsk-011,Update_005,Task 011,2024-11-20,2024-12-17,27.0,10.0,No Change
Gamma,tsk-011,Update_006,Task 011,2024-11-20,2024-12-17,27.0,10.0,No Change
Gamma,tsk-011,Update_007,Task 011,NA,NA,0.0,0.0,Initial
Gamma,tsk-011,Update_008,Task 011,2024-11-20,2024-12-17,27.0,10.0,Initial
Gamma,tsk-011,Update_009,Task 011,2024-11-20,2024-12-17,27.0,10.0,No Change
Gamma,tsk-011,Update_010,Task 011,2024-11-20,2024-12-17,27.0,10.0,No Change
Gamma,tsk-011,Update_011,Task 011,2024-11-20,2024-12-17,27.0,10.0,No Change
Gamma,tsk-011,Update_012,Task 011,2024-11-20,2024-12-17,27.0,10.0,No Change
Gamma,tsk-011,Update_013,Task 011,2024-11-20,2024-12-17,27.0,10.0,No Change
Gamma,tsk-011,Update_014,Task 011,2024-11-20,2024-12-17,27.0,10.0,No Change
Gamma,tsk-011,Update_015,Task 011,2024-11-20,2024-12-17,27.0,10.0,No Change
Gamma,tsk-012,Update_001,Task 012,2025-03-02,NA,0.0,0.0,Initial
Gamma,tsk-012,Update_002,Task 012,2025-03-02,2025-03-28,26.0,10.0,Initial
Gamma,tsk-012,Update_003,Task 012,2025-03-02,2025-03-28,26.0,10.0,No Change
Gamma,tsk-012,Update_004,Task 012,2025-03-02,2025-03-28,26.0,10.0,No Change
Gamma,tsk-012,Update_005,Task 012,2025-03-02,2025-03-28,26.0,10.0,No Change
Gamma,tsk-012,Update_006,Task 012,2025-03-02,2025-03-28,26.0,10.0,No Change
Gamma,tsk-012,Update_007,Task 012,NA,NA,0.0,0.0,Initial
Gamma,tsk-012,Update_008,Task 012,2025-03-02,2025-01-26,-35.0,0.0,Initial
Gamma,tsk-012,Update_009,Task 012,2025-03-02,2025-01-26,-35.0,0.0,No Change
Gamma,tsk-012,Update_010,Task 012,2025-03-02,2025-01-26,-35.0,0.0,No Change
Gamma,tsk-012,Update_011,Task 012,2025-03-02,2025-01-26,-35.0,0.0,No Change
Gamma,tsk-012,Update_012,Task 012,2025-03-02,2025-01-26,-35.0,0.0,No Change
Gamma,tsk-012,Update_013,Task 012,2025-03-02,2025-01-26,-35.0,0.0,No Change
Gamma,tsk-012,Update_014,Task 012,2025-03-02,2025-01-26,-35.0,0.0,No Change
Gamma,tsk-012,Update_015,Task 012,2025-03-02,2025-05-25,84.0,10.0,Slipped Further
Gamma,tsk-013,Update_001,Task 013,2025-03-09,2025-03-22,13.0,10.0,Initial
Gamma,tsk-013,Update_002,Task 013,2025-03-09,2025-03-22,13.0,10.0,No Change
Gamma,tsk-013,Update_003,Task 013,2025-03-09,2025-03-22,13.0,10.0,No Change
Gamma,tsk-013,Update_004,Task 013,2025-03-09,2025-03-27,18.0,10.0,Slipped Further
Gamma,tsk-013,Update_005,Task 013,2025-03-09,2025-03-27,18.0,10.0,No Change
Gamma,tsk-013,Update_006,Task 013,2025-03-09,2025-03-27,18.0,10.0,No Change
Gamma,tsk-013,Update_007,Task 013,NA,NA,0.0,0.0,Initial
Gamma,tsk-013,Update_008,Task 013,2025-03-09,2025-04-05,27.0,10.0,Initial
Gamma,tsk-013,Update_009,Task 013,2025-03-09,2025-04-05,27.0,10.0,No Change
Gamma,tsk-013,Update_010,Task 013,2025-03-09,2025-04-05,27.0,10.0,No Change
Gamma,tsk-013,Update_011,Task 013,2025-03-09,2025-04-05,27.0,10.0,No Change
Gamma,tsk-013,Update_012,Task 013,2025-03-09,2025-04-05,27.0,10.0,No Change
Gamma,tsk-013,Update_013,Task 013,2025-03-09,2025-04-05,27.0,10.0,No Change
Gamma,tsk-013,Update_014,Task 013,2025-03-09,2025-04-05,27.0,10.0,No Change
Gamma,tsk-013,Update_015,Task 013,2025-03-09,2025-04-05,27.0,10.0,No Change
Gamma,tsk-014,Update_001,Task 014,2025-11-05,NA,0.0,0.0,Initial
Gamma,tsk-014,Update_002,Task 014,2025-11-05,NA,0.0,0.0,Initial
Gamma,tsk-014,Update_003,Task 014,2025-11-05,NA,0.0,0.0,Initial
Gamma,tsk-014,Update_004,Task 014,2025-11-05,NA,0.0,0.0,Initial
Gamma,tsk-014,Update_005,Task 014,2025-11-05,2025-11-15,10.0,10.0,Initial
Gamma,tsk-014,Update_006,Task 014,2025-11-05,2025-11-15,10.0,10.0,No Change
Gamma,tsk-014,Update_007,Task 014,NA,NA,0.0,0.0,Initial
Gamma,tsk-014,Update_008,Task 014,2025-11-05,2025-11-15,10.0,10.0,Initial
Gamma,tsk-014,Update_009,Task 014,2025-11-05,2025-11-15,10.0,10.0,No Change
Gamma,tsk-014,Update_010,Task 014,2025-11-05,2025-11-15,10.0,10.0,No Change
Gamma,tsk-014,Update_011,Task 014,2025-11-05,2025-11-15,10.0,10.0,No Change
Gamma,tsk-014,Update_012,Task 014,2025-11-05,2025-11-15,10.0,10.0,No Change
Gamma,tsk-014,Update_013,Task 014,2025-11-05,2025-11-15,10.0,10.0,No Change
Gamma,tsk-014,Update_014,Task 014,2025-11-05,2025-11-17,12.0,10.0,Slipped Further
Gamma,tsk-014,Update_015,Task 014,2025-11-05,2025-11-17,12.0,10.0,No Change
Gamma,tsk-015,Update_001,Task 015,2025-07-27,NA,0.0,0.0,Initial
Gamma,tsk-015,Update_002,Task 015,2025-07-27,2025-09-07,42.0,10.0,Initial
Gamma,tsk-015,Update_003,Task 015,2025-07-27,2025-09-07,42.0,10.0,No Change
Gamma,tsk-015,Update_004,Task 015,2025-07-27,2025-09-07,42.0,10.0,No Change
Gamma,tsk-015,Update_005,Task 015,2025-07-27,2025-09-07,42.0,10.0,No Change
Gamma,tsk-015,Update_006,Task 015,2025-07-27,2025-09-07,42.0,10.0,No Change
Gamma,tsk-015,Update_007,Task 015,NA,NA,0.0,0.0,Initial
Gamma,tsk-015,Update_008,Task 015,2025-07-27,2025-09-07,42.0,10.0,Initial
Gamma,tsk-015,Update_009,Task 015,2025-07-27,2025-09-07,42.0,10.0,No Change
Gamma,tsk-015,Update_010,Task 015,2025-07-27,2025-09-07,42.0,10.0,No Change
Gamma,tsk-015,Update_011,Task 015,2025-07-27,2025-09-07,42.0,10.0,No Change
Gamma,tsk-015,Update_012,Task 015,2025-07-27,2025-09-07,42.0,10.0,No Change
Gamma,tsk-015,Update_013,Task 015,2025-07-27,2025-09-07,42.0,10.0,No Change
Gamma,tsk-015,Update_014,Task 015,2025-07-27,2025-09-07,42.0,10.0,No Change
Gamma,tsk-015,Update_015,Task 015,2025-07-27,2025-09-07,42.0,10.0,No Change
Gamma,tsk-016,Update_001,Task 016,2025-06-26,NA,0.0,0.0,Initial
Gamma,tsk-016,Update_002,Task 016,2025-06-26,NA,0.0,0.0,Initial
Gamma,tsk-016,Update_003,Task 016,2025-06-26,2025-07-30,34.0,10.0,Initial
Gamma,tsk-016,Update_004,Task 016,2025-06-26,2025-07-30,34.0,10.0,No Change
Gamma,tsk-016,Update_005,Task 016,2025-06-26,2025-07-30,34.0,10.0,No Change
Gamma,tsk-016,Update_006,Task 016,2025-06-26,2025-07-30,34.0,10.0,No Change
Gamma,tsk-016,Update_007,Task 016,NA,NA,0.0,0.0,Initial
Gamma,tsk-016,Update_008,Task 016,2025-06-26,2025-07-30,34.0,10.0,Initial
Gamma,tsk-016,Update_009,Task 016,2025-06-26,2025-08-06,41.0,10.0,Slipped Further
Gamma,tsk-016,Update_010,Task 016,2025-06-26,2025-08-06,41.0,10.0,No Change
Gamma,tsk-016,Update_011,Task 016,2025-06-26,2025-08-06,41.0,10.0,No Change
Gamma,tsk-016,Update_012,Task 016,2025-06-26,2025-08-06,41.0,10.0,No Change
Gamma,tsk-016,Update_013,Task 016,2025-06-26,2025-08-12,47.0,10.0,Slipped Further
Gamma,tsk-016,Update_014,Task 016,2025-06-26,2025-08-12,47.0,10.0,No Change
Gamma,tsk-016,Update_015,Task 016,2025-06-26,2025-09-23,89.0,10.0,Slipped Further
Gamma,tsk-017,Update_001,Task 017,2025-08-04,NA,0.0,0.0,Initial
Gamma,tsk-017,Update_002,Task 017,2025-08-04,NA,0.0,0.0,Initial
Gamma,tsk-017,Update_003,Task 017,2025-08-04,NA,0.0,0.0,Initial
Gamma,tsk-017,Update_004,Task 017,2025-08-04,NA,0.0,0.0,Initial
Gamma,tsk-017,Update_005,Task 017,2025-08-04,2025-07-06,-29.0,0.0,Initial
Gamma,tsk-017,Update_006,Task 017,2025-08-04,2025-07-06,-29.0,0.0,No Change
Gamma,tsk-017,Update_007,Task 017,NA,NA,0.0,0.0,Initial
Gamma,tsk-017,Update_008,Task 017,2025-08-04,2025-07-06,-29.0,0.0,Initial
Gamma,tsk-017,Update_009,Task 017,2025-08-04,2025-07-06,-29.0,0.0,No Change
Gamma,tsk-017,Update_010,Task 017,2025-08-04,2025-07-06,-29.0,0.0,No Change
Gamma,tsk-017,Update_011,Task 017,2025-08-04,2025-07-06,-29.0,0.0,No Change
Gamma,tsk-017,Update_012,Task 017,2025-08-04,2025-07-06,-29.0,0.0,No Change
Gamma,tsk-017,Update_013,Task 017,2025-08-04,2025-07-06,-29.0,0.0,No Change
Gamma,tsk-017,Update_014,Task 017,2025-08-04,2025-07-06,-29.0,0.0,No Change
Gamma,tsk-017,Update_015,Task 017,2025-08-04,2025-07-06,-29.0,0.0,No Change
Gamma,tsk-018,Update_001,Task 018,2024-12-27,NA,0.0,0.0,Initial
Gamma,tsk-018,Update_002,Task 018,2024-12-27,NA,0.0,0.0,Initial
Gamma,tsk-018,Update_003,Task 018,2024-12-27,2025-01-11,15.0,10.0,Initial
Gamma,tsk-018,Update_004,Task 018,2024-12-27,2025-01-11,15.0,10.0,No Change
Gamma,tsk-018,Update_005,Task 018,2024-12-27,2025-01-11,15.0,10.0,No Change
Gamma,tsk-018,Update_006,Task 018,2024-12-27,2025-01-16,20.0,10.0,Slipped Further
Gamma,tsk-018,Update_007,Task 018,NA,NA,0.0,0.0,Initial
Gamma,tsk-018,Update_008,Task 018,2024-12-27,2025-01-23,27.0,10.0,Initial
Gamma,tsk-018,Update_009,Task 018,2024-12-27,2025-01-23,27.0,10.0,No Change
Gamma,tsk-018,Update_010,Task 018,2024-12-27,2025-01-23,27.0,10.0,No Change
Gamma,tsk-018,Update_011,Task 018,2024-12-27,2025-01-23,27.0,10.0,No Change
Gamma,tsk-018,Update_012,Task 018,2024-12-27,2025-01-23,27.0,10.0,No Change
Gamma,tsk-018,Update_013,Task 018,2024-12-27,2025-01-23,27.0,10.0,No Change
Gamma,tsk-018,Update_014,Task 018,2024-12-27,2025-01-23,27.0,10.0,No Change
Gamma,tsk-018,Update_015,Task 018,2024-12-27,2025-01-29,33.0,10.0,Slipped Further
Gamma,tsk-019,Update_001,Task 019,2025-11-05,NA,0.0,0.0,Initial
Gamma,tsk-019,Update_002,Task 019,2025-11-05,NA,0.0,0.0,Initial
Gamma,tsk-019,Update_003,Task 019,2025-11-05,NA,0.0,0.0,Initial
Gamma,tsk-019,Update_004,Task 019,2025-11-05,NA,0.0,0.0,Initial
Gamma,tsk-019,Update_005,Task 019,2025-11-05,NA,0.0,0.0,Initial
Gamma,tsk-019,Update_006,Task 019,2025-11-05,2025-11-14,9.0,10.0,Initial
Gamma,tsk-019,Update_007,Task 019,NA,NA,0.0,0.0,Initial
Gamma,tsk-019,Update_008,Task 019,2025-11-05,2025-11-14,9.0,10.0,Initial
Gamma,tsk-019,Update_009,Task 019,2025-11-05,2025-11-14,9.0,10.0,No Change
Gamma,tsk-019,Update_010,Task 019,2025-11-05,2025-11-14,9.0,10.0,No Change
Gamma,tsk-019,Update_011,Task 019,2025-11-05,2025-11-14,9.0,10.0,No Change
Gamma,tsk-019,Update_012,Task 019,2025-11-05,2025-11-14,9.0,10.0,No Change
Gamma,tsk-019,Update_013,Task 019,2025-11-05,2025-11-14,9.0,10.0,No Change
Gamma,tsk-019,Update_014,Task 019,2025-11-05,2025-11-14,9.0,10.0,No Change
Gamma,tsk-019,Update_015,Task 019,2025-11-05,2025-11-14,9.0,10.0,No Change
Gamma,tsk-020,Update_001,Task 020,2025-11-09,NA,0.0,0.0,Initial
Gamma,tsk-020,Update_002,Task 020,2025-11-09,NA,0.0,0.0,Initial
Gamma,tsk-020,Update_003,Task 020,2025-11-09,2025-12-05,26.0,10.0,Initial
Gamma,tsk-020,Update_004,Task 020,2025-11-09,2025-12-05,26.0,10.0,No Change
Gamma,tsk-020,Update_005,Task 020,2025-11-09,2025-12-05,26.0,10.0,No Change
Gamma,tsk-020,Update_006,Task 020,2025-11-09,2025-12-05,26.0,10.0,No Change
Gamma,tsk-020,Update_007,Task 020,NA,NA,0.0,0.0,Initial
Gamma,tsk-020,Update_008,Task 020,2025-11-09,2025-12-05,26.0,10.0,Initial
Gamma,tsk-020,Update_009,Task 020,2025-11-09,2025-12-05,26.0,10.0,No Change
Gamma,tsk-020,Update_010,Task 020,2025-11-09,2025-12-05,26.0,10.0,No Change
Gamma,tsk-020,Update_011,Task 020,2025-11-09,2025-12-05,26.0,10.0,No Change
Gamma,tsk-020,Update_012,Task 020,2025-11-09,2025-12-05,26.0,10.0,No Change
Gamma,tsk-020,Update_013,Task 020,2025-11-09,2025-12-05,26.0,10.0,No Change
Gamma,tsk-020,Update_014,Task 020,2025-11-09,2025-12-05,26.0,10.0,No Change
Gamma,tsk-020,Update_015,Task 020,2025-11-09,2025-12-05,26.0,10.0,No Change
Gamma,tsk-021,Update_001,Task 021,2025-06-03,NA,0.0,0.0,Initial
Gamma,tsk-021,Update_002,Task 021,2025-06-03,NA,0.0,0.0,Initial
Gamma,tsk-021,Update_003,Task 021,2025-06-03,NA,0.0,0.0,Initial
